date,stream,swe_mm_we,snow_density_kg_m3
2018-10-01,final,0.000000,100.0000
2018-10-02,final,0.000000,100.1267
2018-10-03,final,0.000000,100.0000
2018-10-04,final,0.000000,100.0000
2018-10-05,final,0.005096,101.7161
2018-10-06,final,0.223031,112.8120
2018-10-07,final,0.640821,114.9075
2018-10-08,final,2.367057,124.7848
2018-10-09,final,4.317717,136.2185
2018-10-10,final,6.277370,143.3242
2018-10-11,final,8.753377,144.2321
2018-10-12,final,10.119231,143.8663
2018-10-13,final,8.612789,145.2316
2018-10-14,final,8.919190,149.0755
2018-10-15,final,10.891729,145.8788
2018-10-16,final,10.532534,147.6952
2018-10-17,final,9.715928,149.8006
2018-10-18,final,8.875157,150.0328
2018-10-19,final,7.632554,149.5575
2018-10-20,final,6.435954,144.5382
2018-10-21,final,5.206126,140.5406
2018-10-22,final,4.000137,135.3734
2018-10-23,final,3.266473,131.7402
2018-10-24,final,3.116480,129.0541
2018-10-25,final,2.699727,127.4835
2018-10-26,final,2.502930,127.4872
2018-10-27,final,2.247069,123.9829
2018-10-28,final,1.768364,121.7662
2018-10-29,final,1.398021,119.3026
2018-10-30,final,1.295015,124.6784
2018-10-31,final,7.509165,134.8377
2018-11-01,final,8.454316,145.5338
2018-11-02,final,8.538459,140.9793
2018-11-03,final,9.215809,142.8197
2018-11-04,final,9.541054,144.1959
2018-11-05,final,11.864669,148.2922
2018-11-06,final,12.052163,147.6748
2018-11-07,final,12.005869,149.6068
2018-11-08,final,12.270725,149.6903
2018-11-09,final,12.305293,148.4743
2018-11-10,final,12.098841,148.6989
2018-11-11,final,12.108954,149.8704
2018-11-12,final,16.133725,141.5866
2018-11-13,final,16.305449,145.9791
2018-11-14,final,16.064978,148.4494
2018-11-15,final,15.523682,150.2131
2018-11-16,final,14.792647,152.2333
2018-11-17,final,14.306655,154.9836
2018-11-18,final,15.887721,154.3716
2018-11-19,final,15.646893,152.2600
2018-11-20,final,15.348341,153.0097
2018-11-21,final,14.897480,154.4216
2018-11-22,final,14.380991,155.6105
2018-11-23,final,15.987500,156.0253
2018-11-24,final,17.123439,155.8726
2018-11-25,final,21.732673,160.1291
2018-11-26,final,21.568843,158.0586
2018-11-27,final,21.333068,158.8358
2018-11-28,final,20.890527,160.0283
2018-11-29,final,22.496445,157.5652
2018-11-30,final,22.855468,159.6539
2018-12-01,final,26.386718,156.4053
2018-12-02,final,26.908875,156.1409
2018-12-03,final,29.523584,150.9106
2018-12-04,final,30.362882,151.2502
2018-12-05,final,30.261006,151.7176
2018-12-06,final,30.649412,152.1594
2018-12-07,final,31.698771,152.7222
2018-12-08,final,31.570404,154.8110
2018-12-09,final,31.611225,156.1268
2018-12-10,final,31.541398,157.2319
2018-12-11,final,31.301762,158.3001
2018-12-12,final,30.965433,160.0124
2018-12-13,final,33.012401,161.5908
2018-12-14,final,32.829099,161.4882
2018-12-15,final,32.593301,162.6335
2018-12-16,final,32.204374,164.6874
2018-12-17,final,31.748473,166.8882
2018-12-18,final,31.404839,167.3843
2018-12-19,final,31.386514,167.4508
2018-12-20,final,31.873869,167.8167
2018-12-21,final,31.610136,168.4626
2018-12-22,final,32.114954,167.8482
2018-12-23,final,32.710398,169.5814
2018-12-24,final,33.346637,166.9554
2018-12-25,final,34.330860,164.2682
2018-12-26,final,36.778923,161.9427
2018-12-27,final,38.304009,163.4365
2018-12-28,final,39.056790,157.4401
2018-12-29,final,40.354509,153.9023
2018-12-30,final,40.267918,156.8908
2018-12-31,final,41.058760,158.0637
2019-01-01,final,47.125723,139.5487
