date,frsno,snodp_m,snomas_kg_m2
1980-10-01,0.00000000,0.00000000,0.000000
1980-10-02,0.00000000,0.00000278,0.000000
1980-10-03,0.00000000,0.00000000,0.000000
1980-10-04,0.00000000,0.00000000,0.000000
1980-10-05,0.00000000,0.00000000,0.000000
1980-10-06,0.00000000,0.00000000,0.000000
1980-10-07,0.00000000,0.00000000,0.000000
1980-10-08,0.00000000,0.00000000,0.000000
1980-10-09,0.00000000,0.00000000,0.000000
1980-10-10,0.00000000,0.00000409,0.000000
1980-10-11,0.00000000,0.00000000,0.000000
1980-10-12,0.00000000,0.00000000,0.000000
1980-10-13,0.00001557,0.00726805,0.000405
1980-10-14,0.00002484,0.00600506,0.000646
1980-10-15,0.01501942,0.04723500,0.390505
1980-10-16,0.11152708,0.14383707,2.899704
1980-10-17,0.17561376,0.14423948,4.565958
1980-10-18,0.15227945,0.14305860,3.959266
1980-10-19,0.09701007,0.13452300,2.522262
1980-10-20,0.03200994,0.12001318,0.832258
1980-10-21,0.01040525,0.09878789,0.270537
1980-10-22,0.00393159,0.07645514,0.102221
1980-10-23,0.00257009,0.08139885,0.066822
1980-10-24,0.00255605,0.06566354,0.066457
1980-10-25,0.00193645,0.05506599,0.050348
1980-10-26,0.00273108,0.06526634,0.071008
1980-10-27,0.06212759,0.16213692,1.615317
1980-10-28,0.09169301,0.16386521,2.384018
1980-10-29,0.06561297,0.14741746,1.705937
1980-10-30,0.03024023,0.14685801,0.786246
1980-10-31,0.01084522,0.14176017,0.281976
1980-11-01,0.00440885,0.11771254,0.114630
1980-11-02,0.00155861,0.08292732,0.040524
1980-11-03,0.00102345,0.06475134,0.026610
1980-11-04,0.00063299,0.04162790,0.016458
1980-11-05,0.00021113,0.02054669,0.005489
1980-11-06,0.00006079,0.00811343,0.001580
1980-11-07,0.00001933,0.00482626,0.000502
1980-11-08,0.00000043,0.00062718,0.000011
1980-11-09,0.00033555,0.00341761,0.008724
1980-11-10,0.00037488,0.00581823,0.009747
1980-11-11,0.00014993,0.00581822,0.003898
1980-11-12,0.00015777,0.01254987,0.004102
1980-11-13,0.03840653,0.10978837,0.998570
1980-11-14,0.12069296,0.16906971,3.138017
1980-11-15,0.14812730,0.15325503,3.851310
1980-11-16,0.14309297,0.15755586,3.720417
1980-11-17,0.14130191,0.15343673,3.673850
1980-11-18,0.11598323,0.15051137,3.015564
1980-11-19,0.08834645,0.15171788,2.297008
1980-11-20,0.06820261,0.15612352,1.773268
1980-11-21,0.05485630,0.15045400,1.426264
1980-11-22,0.04804871,0.15896837,1.249266
1980-11-23,0.07192037,0.15931557,1.869930
1980-11-24,0.18228417,0.17241272,4.739388
1980-11-25,0.25389008,0.17333261,6.601142
1980-11-26,0.22981564,0.17333256,5.975207
1980-11-27,0.20629956,0.17333252,5.363788
1980-11-28,0.17850747,0.17333245,4.641194
1980-11-29,0.12745263,0.17333237,3.313768
1980-11-30,0.08769213,0.17326410,2.279995
