date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
2000-10-01,final,0.040840,104.6543,0.00027497,0.00274971
2000-10-02,final,0.012349,102.1419,0.00009037,0.00090374
2000-10-03,final,0.001682,100.4888,0.00001173,0.00011728
2000-10-04,final,0.000000,101.1773,0.00000000,0.00000000
2000-10-05,final,0.078526,106.4057,0.00057416,0.00574161
2000-10-06,final,0.150727,114.1682,0.00105029,0.01050294
2000-10-07,final,0.259267,118.7818,0.00176824,0.01768245
2000-10-08,final,0.508654,119.6591,0.00341999,0.03419987
2000-10-09,final,0.432945,119.3314,0.00295612,0.02956119
2000-10-10,final,0.291015,115.1921,0.00203914,0.02039137
2000-10-11,final,0.359321,111.3650,0.00252501,0.02525012
2000-10-12,final,0.828021,111.8987,0.00578154,0.05343851
2000-10-13,final,0.868761,117.7535,0.00600979,0.05627476
2000-10-14,final,1.019848,118.4254,0.00694753,0.06578212
2000-10-15,final,1.018302,117.7700,0.00682358,0.06646361
2000-10-16,final,0.860992,117.6714,0.00567620,0.05624394
2000-10-17,final,0.703818,116.0925,0.00459271,0.04591096
2000-10-18,final,0.508148,113.4761,0.00330228,0.03302283
2000-10-19,final,0.337653,112.1967,0.00218772,0.02187717
2000-10-20,final,0.245579,110.3264,0.00158346,0.01583456
2000-10-21,final,0.174240,108.2860,0.00111865,0.01118653
2000-10-22,final,0.217881,108.8759,0.00143950,0.01439505
2000-10-23,final,0.863151,116.3793,0.00599616,0.05996155
2000-10-24,final,2.996329,118.4244,0.02068102,0.17932511
2000-10-25,final,3.223898,126.9699,0.02143238,0.18202311
2000-10-26,final,3.079179,125.1347,0.02015132,0.17378962
2000-10-27,final,2.707796,124.9221,0.01729531,0.15182750
2000-10-28,final,3.535702,123.6084,0.02346550,0.17535234
2000-10-29,final,5.595332,126.1396,0.03675970,0.25712359
2000-10-30,final,5.342731,125.0797,0.03433626,0.24440841
2000-10-31,final,5.612295,131.0051,0.03601699,0.24118981
2000-11-01,final,10.834237,145.1585,0.07174879,0.52194276
2000-11-02,final,12.448872,144.4908,0.08157919,0.55903999
2000-11-03,final,12.897755,150.6143,0.08398740,0.58503482
2000-11-04,final,12.816149,150.3847,0.08258491,0.57335768
2000-11-05,final,13.604925,148.7620,0.08787924,0.57613553
2000-11-06,final,17.017150,152.4808,0.11068077,0.66604382
2000-11-07,final,17.707094,151.5562,0.11552551,0.70128815
2000-11-08,final,17.638958,151.9761,0.11432741,0.69584939
2000-11-09,final,17.802553,151.9945,0.11527412,0.69348152
2000-11-10,final,18.402593,152.1017,0.11903200,0.69264778
2000-11-11,final,23.681810,146.1498,0.16191120,0.77967239
2000-11-12,final,26.028460,147.3261,0.17579356,0.85425579
2000-11-13,final,26.107867,149.7337,0.17365520,0.84312665
2000-11-14,final,25.754457,151.1161,0.16946879,0.82601601
2000-11-15,final,26.518145,148.5750,0.17864735,0.82258857
2000-11-16,final,27.803277,150.5136,0.18433707,0.82155144
2000-11-17,final,27.837807,151.7193,0.18230155,0.82000892
2000-11-18,final,28.415362,149.6256,0.18776722,0.83836592
2000-11-19,final,28.235683,152.0719,0.18373911,0.82833497
2000-11-20,final,28.025753,153.3113,0.18036547,0.82114737
2000-11-21,final,27.803701,154.7558,0.17668619,0.81277492
2000-11-22,final,27.356865,156.7661,0.17092066,0.79392098
2000-11-23,final,27.493435,158.2547,0.16972602,0.78051579
2000-11-24,final,27.451159,159.6209,0.16742861,0.77320821
2000-11-25,final,27.269632,160.3045,0.16538302,0.75982248
2000-11-26,final,27.101423,161.1452,0.16302904,0.75248863
2000-11-27,final,26.899641,162.2015,0.16039862,0.73856105
2000-11-28,final,27.346881,162.4008,0.16274745,0.72236136
2000-11-29,final,27.157523,163.2178,0.15971510,0.70550890
2000-11-30,final,26.818464,165.2946,0.15495963,0.68704884
2000-12-01,final,26.510260,165.3581,0.15158091,0.66729131
2000-12-02,final,26.314926,165.9050,0.14900258,0.66045026
2000-12-03,final,26.012893,167.3499,0.14547563,0.64930850
2000-12-04,final,25.600695,167.2708,0.14131387,0.63263792
2000-12-05,final,25.331493,168.1527,0.13821680,0.62261494
2000-12-06,final,26.086039,173.2148,0.14305504,0.64890505
2000-12-07,final,25.769785,174.6046,0.13954849,0.63463617
2000-12-08,final,25.432400,175.5085,0.13584415,0.62112749
2000-12-09,final,26.508533,172.0048,0.14445537,0.62886181
2000-12-10,final,26.683332,171.4491,0.14467287,0.61636846
2000-12-11,final,32.689821,156.1460,0.19502071,0.74181795
2000-12-12,final,32.852332,159.4377,0.19484050,0.72700867
2000-12-13,final,34.912763,157.5711,0.21253662,0.73834297
2000-12-14,final,35.676732,158.4391,0.21724257,0.73226369
2000-12-15,final,36.467201,159.1754,0.22049841,0.72672492
2000-12-16,final,39.600785,157.2969,0.24420031,0.73864874
2000-12-17,final,39.410619,158.5090,0.23954883,0.73273074
2000-12-18,final,40.217506,159.1238,0.24471943,0.72698863
2000-12-19,final,40.182138,159.9585,0.24234576,0.72083479
2000-12-20,final,40.368378,160.5020,0.24207682,0.71307001
2000-12-21,final,40.619156,161.2019,0.24119322,0.72053399
2000-12-22,final,40.575853,162.3316,0.23797882,0.71728320
2000-12-23,final,40.767723,163.3731,0.23662549,0.70688642
2000-12-24,final,40.620653,164.7703,0.23196283,0.69999854
2000-12-25,final,42.065848,161.9489,0.24292767,0.71455866
2000-12-26,final,44.468270,160.2454,0.25883225,0.81235247
2000-12-27,final,44.347105,163.2487,0.25417733,0.80096786
2000-12-28,final,44.007179,165.3722,0.24831577,0.78104272
2000-12-29,final,43.807324,166.9669,0.24373852,0.77210658
2000-12-30,final,43.654858,168.2184,0.24017979,0.76651347
2000-12-31,final,44.309772,167.2125,0.24445654,0.77711546
2001-01-01,final,44.130096,169.7774,0.23987401,0.76618496
2001-01-02,final,43.992019,171.0604,0.23648154,0.75852462
2001-01-03,final,43.778597,172.1439,0.23286883,0.74849166
2001-01-04,final,43.323463,173.7524,0.22716970,0.72644655
2001-01-05,final,42.686696,175.7458,0.21963646,0.69633384
