date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
2014-10-01,final,0.605430,111.4714,0.00424797,0.04247971
2014-10-02,final,1.400811,121.8583,0.00960189,0.09601888
2014-10-03,final,1.276204,127.9453,0.00859613,0.08596125
2014-10-04,final,0.963246,119.0388,0.00654427,0.06544273
2014-10-05,final,0.591532,115.5762,0.00401069,0.04010693
2014-10-06,final,0.364485,111.0706,0.00250476,0.02504757
2014-10-07,final,0.190915,108.5452,0.00131697,0.01316969
2014-10-08,final,0.092119,105.0764,0.00064471,0.00644708
2014-10-09,final,0.085612,105.6132,0.00062224,0.00622242
2014-10-10,final,1.023725,112.0119,0.00709839,0.07098385
2014-10-11,final,0.880604,112.0022,0.00602539,0.06025395
2014-10-12,final,0.610270,114.3134,0.00413358,0.04133585
2014-10-13,final,2.658405,128.2808,0.01771231,0.17488888
2014-10-14,final,2.462526,126.7908,0.01635310,0.16181688
2014-10-15,final,1.585597,124.7957,0.01052399,0.10521760
2014-10-16,final,0.847751,122.3886,0.00561881,0.05618809
2014-10-17,final,0.472473,119.0499,0.00313010,0.03130098
2014-10-18,final,0.270238,115.9583,0.00180054,0.01800540
2014-10-19,final,0.156645,110.8937,0.00106357,0.01063568
2014-10-20,final,0.138785,107.7400,0.00095794,0.00957942
2014-10-21,final,0.074573,105.0859,0.00051431,0.00514310
2014-10-22,final,0.133704,105.1259,0.00099289,0.00992887
2014-10-23,final,0.106376,103.9660,0.00079356,0.00793563
2014-10-24,final,0.065734,103.6860,0.00048368,0.00483678
2014-10-25,final,0.038149,103.3069,0.00028288,0.00282877
2014-10-26,final,0.019536,101.6894,0.00014813,0.00148125
2014-10-27,final,0.524343,116.0990,0.00374235,0.03742346
2014-10-28,final,0.700193,112.8597,0.00481800,0.04818002
2014-10-29,final,0.655337,111.2888,0.00450387,0.04503867
2014-10-30,final,0.570686,111.1084,0.00391848,0.03918483
2014-10-31,final,0.443716,110.8269,0.00304616,0.03046156
2014-11-01,final,0.386302,114.1560,0.00268297,0.02682972
2014-11-02,final,0.604114,112.6300,0.00422526,0.04225260
2014-11-03,final,3.778940,131.8767,0.02679310,0.24843794
2014-11-04,final,4.870519,139.0992,0.03248821,0.30371432
2014-11-05,final,4.698067,136.9355,0.03107659,0.29199831
2014-11-06,final,4.111737,137.3194,0.02685041,0.25810139
2014-11-07,final,3.154693,137.3120,0.02035155,0.20038331
2014-11-08,final,2.594659,138.1419,0.01669581,0.16607289
2014-11-09,final,2.091782,136.0171,0.01334638,0.13324771
2014-11-10,final,1.647520,133.9296,0.01046892,0.10468915
2014-11-11,final,3.557524,140.7481,0.02367752,0.23523689
2014-11-12,final,4.159524,131.3926,0.03120012,0.29884014
2014-11-13,final,5.862917,128.0364,0.04677793,0.42235080
2014-11-14,final,8.047770,134.0845,0.05915258,0.51280212
2014-11-15,final,10.012131,144.2726,0.06837889,0.55589493
2014-11-16,final,14.497852,138.7123,0.10502129,0.73903838
2014-11-17,final,14.532929,143.9101,0.10002692,0.71966695
2014-11-18,final,14.323396,147.7854,0.09597528,0.69599089
2014-11-19,final,13.969045,150.0293,0.09203415,0.67120850
2014-11-20,final,13.646486,150.0372,0.08937848,0.65832853
2014-11-21,final,13.360395,150.5493,0.08687459,0.64300635
2014-11-22,final,12.934857,151.4474,0.08333141,0.61976241
2014-11-23,final,15.616358,149.6862,0.10428803,0.65261420
2014-11-24,final,18.127453,148.2741,0.12175043,0.71396152
2014-11-25,final,19.469922,148.6073,0.13052297,0.71781624
2014-11-26,final,21.681730,150.5854,0.14474420,0.73728592
2014-11-27,final,21.198046,152.0175,0.13630223,0.70814983
2014-11-28,final,20.082341,154.8994,0.12522673,0.65507138
2014-11-29,final,19.000906,157.1136,0.11496144,0.60605018
2014-11-30,final,18.109101,158.7884,0.10720123,0.56663586
2014-12-01,final,18.071975,158.7848,0.10662982,0.55353257
2014-12-02,final,17.844735,159.4806,0.10370741,0.53944277
2014-12-03,final,17.680174,161.1982,0.10180583,0.52595752
2014-12-04,final,17.569144,161.2233,0.09900804,0.50955230
2014-12-05,final,17.652993,161.5555,0.09778996,0.50248477
2014-12-06,final,17.156202,161.7859,0.09302707,0.48090152
2014-12-07,final,16.914945,161.9632,0.09024905,0.46789443
2014-12-08,final,16.538612,160.2773,0.08676484,0.45311267
2014-12-09,final,16.222644,160.4531,0.08371938,0.44075915
2014-12-10,final,15.912081,159.3721,0.08085886,0.42881649
2014-12-11,final,15.579103,158.5059,0.07784027,0.41625584
2014-12-12,final,15.231566,159.3504,0.07470181,0.40398946
2014-12-13,final,14.783813,158.9010,0.07075976,0.39036170
2014-12-14,final,18.911847,156.9855,0.10427601,0.50479210
2014-12-15,final,23.240251,162.3359,0.13699953,0.63549971
2014-12-16,final,23.310127,162.1702,0.13685483,0.63667112
2014-12-17,final,23.530962,162.5084,0.13825739,0.63703807
2014-12-18,final,24.847549,161.1099,0.14780120,0.68124164
2014-12-19,final,25.214621,161.0094,0.14971416,0.68672655
2014-12-20,final,25.146408,161.7656,0.14809432,0.68208633
2014-12-21,final,25.493402,161.8302,0.15012448,0.67911721
2014-12-22,final,31.555226,159.2713,0.19353783,0.73230316
2014-12-23,final,35.190829,157.3157,0.21914557,0.79993665
2014-12-24,final,35.058058,158.6679,0.21596930,0.78927000
2014-12-25,final,35.150772,159.1966,0.21516847,0.78324377
2014-12-26,final,40.494992,150.6441,0.26034333,0.89573207
2014-12-27,final,42.590760,149.4941,0.27736787,0.93247923
2014-12-28,final,42.581705,152.5934,0.27232194,0.92785984
2014-12-29,final,43.745962,151.8741,0.28389838,0.92655150
2014-12-30,final,46.521529,144.7837,0.31152199,0.96523052
2014-12-31,final,47.332312,146.5816,0.31384904,0.96870044
2015-01-01,final,48.224925,150.7973,0.31252995,0.96490705
2015-01-02,final,49.835997,151.6084,0.32116164,0.97278251
2015-01-03,final,49.793231,154.0956,0.31527150,0.97111312
2015-01-04,final,50.730172,154.5800,0.31960455,0.97357965
2015-01-05,final,50.757905,155.8982,0.31491698,0.97128795
2015-01-06,final,50.332043,160.1050,0.30314154,0.96124000
2015-01-07,final,49.327586,166.7146,0.28420623,0.93770552
2015-01-08,final,48.709234,169.4113,0.27221105,0.92417325
2015-01-09,final,47.981854,173.4823,0.26061424,0.90051307
2015-01-10,final,47.729851,175.3450,0.25467008,0.89341245
2015-01-11,final,47.717777,176.6840,0.25134142,0.87812843
2015-01-12,final,48.855205,178.0643,0.25646188,0.87078067
2015-01-13,final,51.747344,174.1314,0.27729516,0.90033362
2015-01-14,final,54.061612,174.9236,0.29076496,0.91826800
2015-01-15,final,53.887311,176.7307,0.28531397,0.91130821
2015-01-16,final,53.500287,177.8468,0.27919967,0.89765192
2015-01-17,final,53.109801,178.9443,0.27342757,0.87722069
2015-01-18,final,52.631551,181.2858,0.26676782,0.86045336
2015-01-19,final,51.939556,184.0751,0.25847570,0.83614840
2015-01-20,final,52.205872,186.1004,0.25781879,0.82090436
2015-01-21,final,52.295977,186.6026,0.25630962,0.82945299
2015-01-22,final,54.423522,179.5416,0.27628237,0.88601388
2015-01-23,final,54.261330,181.6736,0.27210228,0.88255305
2015-01-24,final,54.010381,183.1356,0.26801819,0.87688227
2015-01-25,final,53.589284,185.2446,0.26223598,0.86554521
2015-01-26,final,52.577120,189.0522,0.25088960,0.83858711
2015-01-27,final,50.654257,192.9079,0.23357548,0.79382929
2015-01-28,final,48.900921,196.3298,0.21829045,0.74381661
2015-01-29,final,47.923076,198.8862,0.21015058,0.70759296
2015-01-30,final,47.716902,197.8882,0.20809555,0.70148961
2015-01-31,final,52.271601,191.4307,0.23931350,0.77509865
2015-02-01,final,53.997147,190.8067,0.25028489,0.80426368
2015-02-02,final,53.966794,190.4846,0.24893522,0.79769603
2015-02-03,final,53.887198,190.3869,0.24714238,0.76908392
2015-02-04,final,53.619686,194.4846,0.24230969,0.73379610
2015-02-05,final,54.895097,192.6786,0.24992271,0.73047133
2015-02-06,final,53.333619,195.5870,0.23583460,0.68236947
2015-02-07,final,51.738450,197.6696,0.22284768,0.63563096
2015-02-08,final,50.125709,198.4345,0.20994848,0.59285352
2015-02-09,final,48.722126,197.6309,0.19866421,0.56093589
2015-02-10,final,47.797374,196.1442,0.19094882,0.53331377
2015-02-11,final,49.186117,194.9709,0.20268850,0.57488175
