date,stream,swe_mm_we,snow_density_kg_m3
2003-02-24,final,60.564751,168.3547
2003-02-25,final,63.116972,167.0555
2003-02-26,final,68.020829,167.4304
2003-02-27,final,70.955934,169.0988
2003-02-28,final,74.136594,168.2336
2003-03-01,final,76.004705,169.0687
2003-03-02,final,77.632913,168.9434
2003-03-03,final,77.262853,171.8249
2003-03-04,final,76.762154,174.0248
2003-03-05,final,82.542608,168.5773
2003-03-06,final,82.502942,171.2952
2003-03-07,final,82.112656,174.3822
2003-03-08,final,81.106381,178.7745
2003-03-09,final,79.613594,182.4339
2003-03-10,final,77.901995,185.0021
2003-03-11,final,76.081256,185.0767
2003-03-12,final,74.070366,187.0401
2003-03-13,final,71.724400,189.3447
2003-03-14,final,68.863059,189.8528
2003-03-15,final,66.360400,190.3635
2003-03-16,final,64.689962,191.8827
2003-03-17,final,66.667930,189.6032
2003-03-18,final,77.763052,189.3494
2003-03-19,final,93.155001,188.7178
2003-03-20,final,98.055140,192.5321
2003-03-21,final,98.210377,194.8435
2003-03-22,final,96.452184,198.6818
2003-03-23,final,93.777001,203.5816
2003-03-24,final,90.867110,202.9689
2003-03-25,final,91.542771,202.4185
2003-03-26,final,89.406445,204.2702
2003-03-27,final,90.087471,207.1020
2003-03-28,final,91.816397,202.2191
2003-03-29,final,92.129245,201.8461
2003-03-30,final,91.884031,202.1425
2003-03-31,final,90.356405,203.5984
2003-04-01,final,87.915520,203.6016
2003-04-02,final,84.907439,198.0274
2003-04-03,final,83.131972,200.0817
2003-04-04,final,84.534076,200.9236
2003-04-05,final,84.499407,202.0244
2003-04-06,final,86.882732,201.6991
2003-04-07,final,87.691607,201.2775
2003-04-08,final,88.668642,200.3518
2003-04-09,final,87.400285,201.0662
2003-04-10,final,85.347238,201.1201
2003-04-11,final,83.112241,196.0901
2003-04-12,final,80.706461,190.7629
2003-04-13,final,78.106014,189.7382
2003-04-14,final,75.194950,191.6094
2003-04-15,final,72.679756,194.5440
2003-04-16,final,74.205221,201.7340
2003-04-17,final,73.276462,199.6750
2003-04-18,final,72.950637,208.0077
2003-04-19,final,73.580762,203.1942
2003-04-20,final,75.890118,204.6108
2003-04-21,final,74.650716,203.2725
2003-04-22,final,74.011541,199.4357
2003-04-23,final,74.722169,197.9981
2003-04-24,final,80.478217,192.5502
2003-04-25,final,79.938084,191.3808
2003-04-26,final,77.525467,187.3218
2003-04-27,final,75.305650,184.2575
2003-04-28,final,73.453304,183.8770
2003-04-29,final,71.591082,183.4445
2003-04-30,final,70.325600,185.1880
2003-05-01,final,69.988096,188.9799
2003-05-02,final,69.577732,188.7646
2003-05-03,final,68.747055,186.5720
2003-05-04,final,68.611266,195.1754
2003-05-05,final,69.984100,188.5943
2003-05-06,final,69.653877,189.1501
2003-05-07,final,69.299678,188.5080
2003-05-08,final,69.005317,188.3521
2003-05-09,final,69.820730,190.4821
2003-05-10,final,74.092282,199.7089
2003-05-11,final,73.653761,196.4731
2003-05-12,final,72.164523,192.0273
2003-05-13,final,70.032475,190.9049
2003-05-14,final,67.648307,186.6306
2003-05-15,final,64.443767,184.8997
2003-05-16,final,61.937599,183.3319
2003-05-17,final,57.218760,181.6117
2003-05-18,final,52.680725,180.8812
2003-05-19,final,49.297312,184.0946
2003-05-20,final,47.038065,191.2461
2003-05-21,final,44.680896,186.1269
2003-05-22,final,41.706124,182.4499
2003-05-23,final,38.170549,181.2252
2003-05-24,final,34.428232,176.2842
2003-05-25,final,30.572109,172.3149
2003-05-26,final,26.773132,169.3336
2003-05-27,final,23.070597,167.6580
2003-05-28,final,19.164520,166.8268
2003-05-29,final,15.353693,165.8140
2003-05-30,final,11.926292,158.4098
2003-05-31,final,8.879178,155.5801
2003-06-01,final,6.494897,150.8059
2003-06-02,final,5.045011,146.3148
2003-06-03,final,4.010059,144.1643
2003-06-04,final,3.308133,140.3956
2003-06-05,final,2.916195,134.9136
2003-06-06,final,2.674215,131.5168
2003-06-07,final,2.474905,127.8378
2003-06-08,final,2.270827,126.0483
2003-06-09,final,1.914269,123.0768
2003-06-10,final,1.556837,118.5192
2003-06-11,final,1.224387,116.0140
2003-06-12,final,1.009698,111.5127
2003-06-13,final,0.827084,108.0759
2003-06-14,final,0.672648,108.0759
2003-06-15,final,0.507274,106.9146
2003-06-16,final,0.339805,106.9146
2003-06-17,final,0.209943,106.9146
2003-06-18,final,0.128999,103.9750
2003-06-19,final,0.078410,103.9749
2003-06-20,final,0.098357,104.4714
2003-06-21,final,0.056909,104.6827
2003-06-22,final,0.029684,104.0120
2003-06-23,final,0.013112,102.0472
2003-06-24,final,0.005650,102.0474
2003-06-25,final,0.032714,103.4550
2003-06-26,final,0.013402,102.9981
2003-06-27,final,0.002684,100.6439
2003-06-28,final,0.000000,100.0000
2003-06-29,final,0.000000,100.0000
2003-06-30,final,0.000000,100.0000
2003-07-01,final,0.000000,100.0000
2003-07-02,final,0.000000,100.0000
2003-07-03,final,0.000000,100.0000
2003-07-04,final,0.000000,100.0000
2003-07-05,final,0.000000,100.0000
