date,stream,swe_mm_we,snow_density_kg_m3
2004-10-01,final,1.088938,114.3962
2004-10-02,final,1.074707,116.3994
2004-10-03,final,0.735342,115.3677
2004-10-04,final,0.513771,112.5194
2004-10-05,final,0.479095,112.6887
2004-10-06,final,0.809271,113.7036
2004-10-07,final,0.736825,112.3337
2004-10-08,final,0.517036,111.0105
2004-10-09,final,0.330286,109.4898
2004-10-10,final,0.203324,107.1333
2004-10-11,final,0.141675,107.2223
2004-10-12,final,0.205414,107.5272
2004-10-13,final,1.396866,120.9060
2004-10-14,final,3.090283,128.1209
2004-10-15,final,2.191910,127.0158
2004-10-16,final,1.477465,127.7651
2004-10-17,final,0.883148,124.8638
2004-10-18,final,0.989822,123.7724
2004-10-19,final,1.603838,125.7382
2004-10-20,final,1.443902,123.9089
2004-10-21,final,1.035035,122.0124
2004-10-22,final,2.481580,126.4110
2004-10-23,final,5.112592,140.6328
2004-10-24,final,4.672829,139.2011
2004-10-25,final,5.224091,137.2140
2004-10-26,final,5.215317,137.0372
2004-10-27,final,4.519009,135.6520
2004-10-28,final,3.850891,132.7316
2004-10-29,final,8.105551,140.8497
2004-10-30,final,9.093974,139.9314
2004-10-31,final,9.024913,141.9564
2004-11-01,final,13.573615,153.5846
2004-11-02,final,14.165679,152.7940
2004-11-03,final,13.935615,153.9799
2004-11-04,final,13.154480,156.0494
2004-11-05,final,12.082780,157.9852
2004-11-06,final,10.731157,159.6816
2004-11-07,final,9.399863,161.0308
2004-11-08,final,8.014347,161.5027
2004-11-09,final,6.721384,158.3990
2004-11-10,final,9.099727,149.1522
2004-11-11,final,9.633777,153.6811
2004-11-12,final,9.671922,152.1044
2004-11-13,final,9.879447,152.5206
2004-11-14,final,12.029327,155.2555
2004-11-15,final,11.687358,151.8068
2004-11-16,final,10.763124,152.4023
2004-11-17,final,9.717035,152.3678
2004-11-18,final,9.053491,152.4714
2004-11-19,final,8.639973,152.1629
2004-11-20,final,9.639810,155.0581
2004-11-21,final,16.956473,147.7737
2004-11-22,final,18.393774,152.0024
2004-11-23,final,17.939883,153.8179
2004-11-24,final,18.228523,153.9010
2004-11-25,final,18.397018,153.2741
2004-11-26,final,19.192130,153.9051
2004-11-27,final,21.286428,154.7260
2004-11-28,final,29.231779,149.5785
2004-11-29,final,35.625628,144.1497
2004-11-30,final,35.994819,148.3666
2004-12-01,final,35.328049,151.9655
2004-12-02,final,34.956734,152.4397
2004-12-03,final,34.840357,153.3733
2004-12-04,final,34.647296,154.5708
2004-12-05,final,35.580776,153.8597
2004-12-06,final,35.949825,154.7737
2004-12-07,final,36.218904,155.6687
2004-12-08,final,36.759234,156.1060
2004-12-09,final,39.058225,156.0495
2004-12-10,final,39.827022,159.6264
2004-12-11,final,39.166479,164.3285
2004-12-12,final,38.070804,169.0473
2004-12-13,final,37.515462,173.3967
2004-12-14,final,37.154020,174.3804
2004-12-15,final,36.827186,176.4557
2004-12-16,final,38.201980,175.2169
2004-12-17,final,38.185785,175.0050
2004-12-18,final,37.950666,176.1778
2004-12-19,final,37.685447,177.7136
2004-12-20,final,37.261268,179.5703
2004-12-21,final,36.929382,181.2849
2004-12-22,final,38.826021,173.5655
2004-12-23,final,40.140065,167.7368
2004-12-24,final,40.529589,167.8089
2004-12-25,final,40.348493,171.4379
2004-12-26,final,40.108726,173.8042
2004-12-27,final,39.729166,175.8525
2004-12-28,final,39.170532,178.9770
2004-12-29,final,39.196092,179.4302
2004-12-30,final,46.278358,174.5652
2004-12-31,final,46.270310,176.0401
2005-01-01,final,46.945994,177.1238
2005-01-02,final,47.085465,177.2882
2005-01-03,final,47.185620,178.8883
2005-01-04,final,51.509605,174.2831
2005-01-05,final,59.096040,160.0321
2005-01-06,final,61.581112,157.8182
2005-01-07,final,62.714936,160.4027
2005-01-08,final,64.107543,162.8953
2005-01-09,final,67.827532,165.7299
2005-01-10,final,69.637741,168.7001
2005-01-11,final,72.544785,172.6278
2005-01-12,final,80.035741,170.9511
2005-01-13,final,82.280698,171.6025
2005-01-14,final,82.132008,173.2102
2005-01-15,final,81.971908,175.1336
2005-01-16,final,81.799550,177.1994
2005-01-17,final,81.733365,179.6139
2005-01-18,final,81.403789,182.7378
2005-01-19,final,80.792090,186.0125
2005-01-20,final,80.000870,189.8669
2005-01-21,final,79.112507,193.6872
2005-01-22,final,78.508328,198.0990
2005-01-23,final,78.139647,198.9858
2005-01-24,final,77.613153,201.2132
2005-01-25,final,77.090914,201.4683
2005-01-26,final,76.712406,201.5577
2005-01-27,final,78.412676,201.5273
2005-01-28,final,80.545858,200.7918
2005-01-29,final,80.741441,201.9414
2005-01-30,final,84.030119,203.1472
2005-01-31,final,87.869243,202.3468
2005-02-01,final,89.049130,198.4317
2005-02-02,final,89.437970,199.1856
2005-02-03,final,89.262248,200.4772
2005-02-04,final,88.964299,202.3788
2005-02-05,final,88.532254,204.7438
2005-02-06,final,87.980292,207.6206
2005-02-07,final,88.310828,209.2693
2005-02-08,final,93.696502,198.3892
2005-02-09,final,94.025901,198.7525
2005-02-10,final,93.808800,199.7511
2005-02-11,final,93.232890,202.1221
2005-02-12,final,94.325217,203.2071
2005-02-13,final,95.129838,205.2354
2005-02-14,final,94.082795,207.4800
2005-02-15,final,94.750447,209.5833
2005-02-16,final,97.013885,206.4985
2005-02-17,final,99.307642,203.5014
2005-02-18,final,98.765725,205.3645
2005-02-19,final,100.332573,205.6978
2005-02-20,final,102.783098,205.3537
2005-02-21,final,104.413074,205.3720
2005-02-22,final,104.457991,207.7071
2005-02-23,final,105.968910,207.8357
2005-02-24,final,107.739758,207.0261
2005-02-25,final,107.458835,207.9006
2005-02-26,final,107.614474,209.1241
2005-02-27,final,107.803216,209.2999
2005-02-28,final,107.618373,210.2426
2005-03-01,final,107.184797,211.6548
2005-03-02,final,107.814851,212.8826
2005-03-03,final,107.242449,212.6585
2005-03-04,final,107.009045,213.8665
2005-03-05,final,106.142038,215.2401
2005-03-06,final,105.435047,215.5085
2005-03-07,final,104.193221,223.6254
2005-03-08,final,103.147625,218.0275
2005-03-09,final,102.695973,224.3376
2005-03-10,final,100.928907,226.6611
2005-03-11,final,99.477292,227.6259
2005-03-12,final,97.883171,229.6713
2005-03-13,final,97.638497,237.3365
2005-03-14,final,99.118808,230.5873
2005-03-15,final,102.723032,223.7672
2005-03-16,final,102.498851,224.6116
2005-03-17,final,102.231230,225.3658
2005-03-18,final,102.694150,225.3626
2005-03-19,final,102.712138,225.2115
2005-03-20,final,102.572064,223.1537
2005-03-21,final,105.992674,217.0382
2005-03-22,final,105.900585,219.1890
2005-03-23,final,105.260305,219.4570
2005-03-24,final,106.652309,217.8598
2005-03-25,final,109.296400,215.3596
2005-03-26,final,113.695419,209.4346
2005-03-27,final,114.109060,209.5872
2005-03-28,final,112.593276,212.2167
2005-03-29,final,112.051675,212.5872
2005-03-30,final,114.107897,208.7067
2005-03-31,final,118.097149,211.6556
2005-04-01,final,118.898206,209.8659
2005-04-02,final,117.712101,212.0303
2005-04-03,final,115.726602,214.8000
2005-04-04,final,112.934830,217.0718
2005-04-05,final,113.071529,215.9804
2005-04-06,final,112.944187,213.4785
2005-04-07,final,111.474161,214.6526
2005-04-08,final,108.494985,213.7245
2005-04-09,final,106.988138,214.9917
2005-04-10,final,108.805973,228.5216
2005-04-11,final,116.985276,226.6155
2005-04-12,final,113.369742,222.8827
2005-04-13,final,111.300693,223.8893
2005-04-14,final,108.181443,224.9357
2005-04-15,final,104.692248,225.4766
2005-04-16,final,101.734498,223.7749
2005-04-17,final,97.510916,220.8020
2005-04-18,final,92.894005,221.7452
2005-04-19,final,89.387399,225.4056
2005-04-20,final,86.668375,231.1328
2005-04-21,final,86.754109,229.1309
2005-04-22,final,85.974654,230.3749
2005-04-23,final,84.286301,230.3372
2005-04-24,final,81.417452,228.6157
2005-04-25,final,87.002994,213.9072
2005-04-26,final,87.693275,211.6362
2005-04-27,final,86.201830,214.7015
2005-04-28,final,87.200761,214.5051
2005-04-29,final,90.596240,212.7412
2005-04-30,final,91.560507,212.9270
2005-05-01,final,92.793404,210.5239
2005-05-02,final,94.172566,208.6705
2005-05-03,final,94.064862,209.1732
2005-05-04,final,92.589067,207.1256
2005-05-05,final,90.088859,203.3757
2005-05-06,final,86.549081,200.5061
2005-05-07,final,83.359307,201.9393
2005-05-08,final,83.736268,198.0636
2005-05-09,final,81.876226,196.4700
2005-05-10,final,79.015890,196.0385
2005-05-11,final,76.810712,196.2426
2005-05-12,final,76.811249,198.5376
2005-05-13,final,76.407516,197.9723
2005-05-14,final,75.007749,197.4546
2005-05-15,final,73.112033,198.1326
2005-05-16,final,69.805940,196.2753
2005-05-17,final,64.987202,195.3899
2005-05-18,final,62.729334,194.8514
2005-05-19,final,59.689955,196.0232
2005-05-20,final,54.366821,193.2235
2005-05-21,final,48.653676,192.8663
2005-05-22,final,43.681171,187.6143
2005-05-23,final,39.001782,187.5715
2005-05-24,final,34.825325,184.5527
2005-05-25,final,31.128798,179.5697
2005-05-26,final,28.310357,176.4589
2005-05-27,final,26.003759,170.4807
2005-05-28,final,24.080453,166.8873
2005-05-29,final,21.973329,163.4508
2005-05-30,final,19.825255,160.2940
2005-05-31,final,18.300136,157.4090
2005-06-01,final,17.113682,152.8243
2005-06-02,final,15.659083,152.0191
2005-06-03,final,14.258281,148.8779
2005-06-04,final,14.644574,149.1909
2005-06-05,final,14.647169,145.5388
2005-06-06,final,12.658868,143.9200
2005-06-07,final,10.947817,141.2343
2005-06-08,final,10.008606,137.8483
2005-06-09,final,9.092646,134.9527
2005-06-10,final,8.549465,132.8076
2005-06-11,final,8.248993,135.8387
2005-06-12,final,7.781250,131.4679
2005-06-13,final,7.462857,133.6322
2005-06-14,final,6.715456,129.6520
2005-06-15,final,5.623716,128.0046
2005-06-16,final,4.529918,125.5130
2005-06-17,final,3.678977,124.9043
2005-06-18,final,2.999732,122.0309
2005-06-19,final,2.374151,119.9137
2005-06-20,final,1.866708,119.1369
2005-06-21,final,1.411522,115.0268
2005-06-22,final,0.985318,110.2636
2005-06-23,final,0.610761,109.2542
2005-06-24,final,0.362290,107.1697
2005-06-25,final,0.197940,105.7720
2005-06-26,final,0.110675,105.7720
2005-06-27,final,0.063427,105.7720
2005-06-28,final,0.035755,105.7720
2005-06-29,final,0.019599,105.8478
2005-06-30,final,0.010650,105.7718
2005-07-01,final,0.000000,100.0000
2005-07-02,final,0.000000,100.0000
2005-07-03,final,0.000000,100.0000
2005-07-04,final,0.000000,100.0000
2005-07-05,final,0.000000,100.0000
2005-07-06,final,0.000000,100.0000
2005-07-07,final,0.000000,100.0000
2005-07-08,final,0.000000,100.0000
2005-07-09,final,0.000000,100.0000
2005-07-10,final,0.000000,100.0000
2005-07-11,final,0.000000,100.0000
2005-07-12,final,0.000000,100.0000
2005-07-13,final,0.000000,100.0000
2005-07-14,final,0.000000,100.0000
2005-07-15,final,0.000000,100.0000
2005-07-16,final,0.000000,100.0000
2005-07-17,final,0.000000,100.0000
2005-07-18,final,0.000000,100.0000
2005-07-19,final,0.000000,100.0000
2005-07-20,final,0.000000,100.0000
2005-07-21,final,0.000000,100.0000
2005-07-22,final,0.000000,100.0000
2005-07-23,final,0.000000,100.0000
2005-07-24,final,0.000000,100.0000
2005-07-25,final,0.000000,100.0000
2005-07-26,final,0.000000,100.0000
2005-07-27,final,0.000000,100.0000
2005-07-28,final,0.000000,100.0000
2005-07-29,final,0.000000,100.0000
2005-07-30,final,0.000000,100.0000
2005-07-31,final,0.000000,100.0000
2005-08-01,final,0.000000,100.0000
2005-08-02,final,0.000000,100.0000
2005-08-03,final,0.000000,100.0000
2005-08-04,final,0.000000,100.0000
2005-08-05,final,0.000000,100.0000
2005-08-06,final,0.000000,100.0000
2005-08-07,final,0.000000,100.0000
2005-08-08,final,0.000000,100.0000
2005-08-09,final,0.000000,100.0000
2005-08-10,final,0.000000,100.0000
2005-08-11,final,0.000000,100.0000
2005-08-12,final,0.000000,100.0000
2005-08-13,final,0.000000,100.0000
2005-08-14,final,0.000000,100.0000
2005-08-15,final,0.000000,100.0000
2005-08-16,final,0.000000,100.0000
2005-08-17,final,0.000000,100.0000
2005-08-18,final,0.000000,100.0000
2005-08-19,final,0.000000,100.0000
2005-08-20,final,0.000000,100.0000
2005-08-21,final,0.000000,100.0000
2005-08-22,final,0.000000,100.1325
2005-08-23,final,0.000000,100.0000
2005-08-24,final,0.000000,100.0000
2005-08-25,final,0.000000,100.0000
2005-08-26,final,0.000000,100.0000
2005-08-27,final,0.000000,100.0000
2005-08-28,final,0.000000,100.0000
2005-08-29,final,0.000000,100.0000
2005-08-30,final,0.000000,100.0000
2005-08-31,final,0.000000,100.0000
2005-09-01,final,0.000000,100.0000
2005-09-02,final,0.000000,100.0000
2005-09-03,final,0.000000,100.0000
2005-09-04,final,0.000000,100.0000
2005-09-05,final,0.000000,100.0000
2005-09-06,final,0.000000,100.0000
2005-09-07,final,0.000000,100.0000
2005-09-08,final,0.000000,100.0000
2005-09-09,final,0.000000,100.0000
2005-09-10,final,0.000000,100.0000
2005-09-11,final,0.000000,100.0000
2005-09-12,final,0.000000,100.0000
2005-09-13,final,0.000000,100.0000
2005-09-14,final,0.002919,100.9990
2005-09-15,final,0.048489,101.6943
2005-09-16,final,0.031199,101.5213
2005-09-17,final,0.015181,101.5229
2005-09-18,final,0.008016,100.9240
2005-09-19,final,0.003795,100.9243
2005-09-20,final,0.000842,100.3218
2005-09-21,final,0.000000,100.0000
2005-09-22,final,0.000000,100.0000
2005-09-23,final,0.000000,100.7388
2005-09-24,final,0.000000,100.0000
2005-09-25,final,0.000000,100.0000
2005-09-26,final,0.000000,100.0000
2005-09-27,final,0.000000,100.0000
2005-09-28,final,0.030002,101.3349
2005-09-29,final,0.128546,103.1907
2005-09-30,final,0.255679,103.5412
