date,stream,swe_mm_we,snow_density_kg_m3
1988-10-01,final,0.065581,105.9531
1988-10-02,final,0.032794,104.0110
1988-10-03,final,0.013818,102.1084
1988-10-04,final,0.006695,101.5007
1988-10-05,final,0.006411,101.2625
1988-10-06,final,0.027112,102.1588
1988-10-07,final,0.221036,106.5078
1988-10-08,final,0.218101,109.1687
1988-10-09,final,0.159807,108.1570
1988-10-10,final,0.421318,110.6070
1988-10-11,final,0.295541,110.2929
1988-10-12,final,0.185386,108.3666
1988-10-13,final,0.187790,110.0878
1988-10-14,final,0.138150,107.4821
1988-10-15,final,0.100729,105.9770
1988-10-16,final,0.062068,104.2865
1988-10-17,final,0.032332,103.0358
1988-10-18,final,0.017019,102.1860
1988-10-19,final,0.011475,101.5680
1988-10-20,final,0.082956,104.0794
1988-10-21,final,0.061487,103.6024
1988-10-22,final,0.039147,102.4529
1988-10-23,final,0.031583,102.4551
1988-10-24,final,0.024431,102.2417
1988-10-25,final,0.018526,102.1090
1988-10-26,final,0.013918,101.5898
1988-10-27,final,0.010970,101.4143
1988-10-28,final,0.009703,101.4150
1988-10-29,final,0.008018,101.1037
1988-10-30,final,0.103970,105.5823
1988-10-31,final,0.105215,103.8512
1988-11-01,final,0.085474,103.7724
1988-11-02,final,0.070921,105.6514
1988-11-03,final,0.092549,109.6232
1988-11-04,final,1.730867,121.8146
1988-11-05,final,2.149162,119.6439
1988-11-06,final,2.096781,114.4356
1988-11-07,final,1.811394,116.9226
1988-11-08,final,1.739895,115.0590
1988-11-09,final,6.407732,126.8621
1988-11-10,final,7.231313,134.1406
1988-11-11,final,8.198002,133.3755
1988-11-12,final,11.585964,137.0942
1988-11-13,final,10.914211,133.3754
1988-11-14,final,9.211761,133.5875
1988-11-15,final,15.015930,163.1029
1988-11-16,final,18.495129,168.3912
1988-11-17,final,19.466092,169.1238
1988-11-18,final,20.972468,166.2276
1988-11-19,final,22.895878,158.1384
1988-11-20,final,23.030880,160.5177
1988-11-21,final,21.663586,161.4573
1988-11-22,final,21.204663,160.2713
1988-11-23,final,20.721365,161.0175
1988-11-24,final,18.677589,163.5091
1988-11-25,final,23.084984,156.1362
1988-11-26,final,26.452045,150.3857
1988-11-27,final,29.123721,149.3062
1988-11-28,final,28.947229,151.1318
1988-11-29,final,29.975373,152.5213
1988-11-30,final,31.039278,153.1792
1988-12-01,final,30.462708,154.5169
1988-12-02,final,29.137251,156.9992
1988-12-03,final,28.688703,159.3184
1988-12-04,final,28.432009,161.4884
1988-12-05,final,28.076867,163.5922
1988-12-06,final,27.705143,165.1675
1988-12-07,final,28.211573,162.9817
1988-12-08,final,33.938468,157.7177
1988-12-09,final,33.617628,160.5775
1988-12-10,final,32.021187,162.5569
1988-12-11,final,31.710567,163.7338
1988-12-12,final,30.253183,164.6452
1988-12-13,final,29.651111,167.9315
1988-12-14,final,28.274036,169.9811
1988-12-15,final,34.956363,161.2351
