date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
2003-10-01,final,0.000000,100.0602,0.00000000,0.00000000
2003-10-02,final,0.003448,101.2745,0.00002764,0.00027645
2003-10-03,final,0.062521,103.3777,0.00047117,0.00471174
2003-10-04,final,0.213545,107.2917,0.00153312,0.01533124
2003-10-05,final,0.165589,106.7362,0.00116060,0.01160602
2003-10-06,final,0.107409,105.7143,0.00075595,0.00755948
2003-10-07,final,0.062922,105.0389,0.00044329,0.00443292
2003-10-08,final,0.032709,103.7355,0.00022931,0.00229314
2003-10-09,final,0.014859,102.0486,0.00010726,0.00107264
2003-10-10,final,0.005937,101.2086,0.00004471,0.00044705
2003-10-11,final,0.053732,104.0142,0.00039446,0.00394455
2003-10-12,final,0.052341,101.6524,0.00040792,0.00407924
2003-10-13,final,0.063875,106.1994,0.00046221,0.00462209
2003-10-14,final,0.226855,107.7275,0.00154203,0.01542025
2003-10-15,final,0.201086,107.8490,0.00136330,0.01363302
2003-10-16,final,0.158013,107.3786,0.00107609,0.01076086
2003-10-17,final,0.104574,105.8998,0.00072658,0.00726584
2003-10-18,final,0.048690,104.0770,0.00034907,0.00349069
2003-10-19,final,0.021774,102.1794,0.00016274,0.00162740
2003-10-20,final,0.009662,101.5587,0.00007148,0.00071485
2003-10-21,final,0.005041,101.5592,0.00003650,0.00036496
2003-10-22,final,0.000000,100.0000,0.00000000,0.00000000
2003-10-23,final,0.000000,100.0000,0.00000000,0.00000000
2003-10-24,final,0.000000,100.0000,0.00000000,0.00000000
2003-10-25,final,0.371578,115.7693,0.00264183,0.02641835
2003-10-26,final,0.721260,120.4590,0.00490293,0.04902927
2003-10-27,final,0.558027,121.8151,0.00371729,0.03717292
2003-10-28,final,0.324880,120.1965,0.00216070,0.02160701
2003-10-29,final,0.183207,111.4353,0.00126149,0.01261491
2003-10-30,final,0.109527,114.6430,0.00076404,0.00764036
2003-10-31,final,1.148348,127.2109,0.00897018,0.08970177
2003-11-01,final,1.902494,132.3567,0.01352595,0.13369543
2003-11-02,final,4.988986,130.8289,0.03401826,0.30474612
2003-11-03,final,9.107037,133.5844,0.06128516,0.45432170
2003-11-04,final,12.808377,140.8373,0.08530558,0.52455732
2003-11-05,final,13.069096,140.0546,0.08656413,0.53350455
2003-11-06,final,13.795762,142.1919,0.09102598,0.55196748
2003-11-07,final,13.938292,144.3412,0.09125976,0.55388144
