date,stream,swe_mm_we,snow_density_kg_m3
1999-10-01,final,0.821628,121.8841
1999-10-02,final,0.404270,117.2730
1999-10-03,final,0.226585,112.4216
1999-10-04,final,0.141225,108.4455
1999-10-05,final,0.074094,106.3693
1999-10-06,final,0.033021,104.7022
1999-10-07,final,0.053378,105.9457
1999-10-08,final,0.698060,114.5193
1999-10-09,final,0.461859,113.7348
1999-10-10,final,0.257528,112.0448
1999-10-11,final,0.131325,108.8698
1999-10-12,final,0.065961,104.8003
1999-10-13,final,0.037133,102.5211
1999-10-14,final,0.019817,102.0278
1999-10-15,final,0.012638,101.7481
1999-10-16,final,0.493744,118.4168
1999-10-17,final,4.031972,135.6372
1999-10-18,final,3.859768,137.9464
1999-10-19,final,5.167174,137.4450
1999-10-20,final,4.676743,138.4838
1999-10-21,final,3.631748,138.8393
1999-10-22,final,2.535729,137.2622
1999-10-23,final,1.691149,133.5932
1999-10-24,final,1.126233,128.3605
1999-10-25,final,0.729345,124.5935
1999-10-26,final,0.480358,120.8672
1999-10-27,final,0.294904,117.6580
1999-10-28,final,0.195222,113.6158
1999-10-29,final,1.471281,125.4215
1999-10-30,final,2.493990,130.6885
1999-10-31,final,2.278207,131.0847
1999-11-01,final,1.603773,130.6394
1999-11-02,final,1.370847,129.9807
1999-11-03,final,1.181244,129.2809
1999-11-04,final,0.983607,127.4561
1999-11-05,final,0.759849,124.6100
1999-11-06,final,0.565958,122.4555
1999-11-07,final,0.410419,117.6648
1999-11-08,final,0.293568,114.9899
1999-11-09,final,0.220721,114.0564
1999-11-10,final,0.196527,111.0125
1999-11-11,final,0.149006,109.5124
1999-11-12,final,0.119695,108.4372
1999-11-13,final,0.085983,106.7953
1999-11-14,final,0.068709,106.0133
1999-11-15,final,0.046401,104.6743
1999-11-16,final,0.031203,103.5311
1999-11-17,final,0.024882,103.3871
1999-11-18,final,0.590716,125.9023
1999-11-19,final,0.742083,114.9191
1999-11-20,final,0.714683,114.9409
1999-11-21,final,1.164272,119.8232
1999-11-22,final,5.627888,137.9354
1999-11-23,final,9.608857,144.2941
1999-11-24,final,8.722566,149.0933
1999-11-25,final,8.074111,149.0150
1999-11-26,final,8.431323,150.0925
1999-11-27,final,7.517260,151.7342
1999-11-28,final,6.895073,152.5531
1999-11-29,final,6.296105,153.2379
1999-11-30,final,5.553425,153.4867
1999-12-01,final,4.784107,153.3581
1999-12-02,final,5.778974,149.7653
1999-12-03,final,7.210029,147.3256
1999-12-04,final,13.155886,149.8078
1999-12-05,final,13.131150,153.6610
1999-12-06,final,12.924676,155.0212
1999-12-07,final,12.671144,155.7519
1999-12-08,final,13.812127,151.9938
1999-12-09,final,15.200843,152.2755
1999-12-10,final,15.039039,153.7984
1999-12-11,final,15.729727,153.0080
1999-12-12,final,15.782530,153.9077
1999-12-13,final,15.621371,154.5982
1999-12-14,final,17.767249,151.8723
1999-12-15,final,17.670500,154.0517
1999-12-16,final,17.544353,154.6494
1999-12-17,final,18.140239,155.2739
1999-12-18,final,18.536454,156.1980
1999-12-19,final,19.357320,156.2846
1999-12-20,final,20.213671,154.3956
1999-12-21,final,21.203502,152.9273
1999-12-22,final,22.741535,152.1522
1999-12-23,final,23.090249,153.0444
1999-12-24,final,22.839039,154.3524
1999-12-25,final,22.436001,155.9812
1999-12-26,final,22.111484,157.6184
1999-12-27,final,21.733449,159.2746
1999-12-28,final,21.345920,160.7355
1999-12-29,final,20.634387,162.6284
1999-12-30,final,20.087001,162.8439
1999-12-31,final,19.762593,162.5299
2000-01-01,final,19.956236,161.3561
2000-01-02,final,22.782674,157.9078
2000-01-03,final,26.054887,155.9915
2000-01-04,final,26.318489,156.2074
2000-01-05,final,26.828427,155.8884
2000-01-06,final,27.251104,154.4240
2000-01-07,final,27.168571,155.1398
2000-01-08,final,26.958905,155.9925
2000-01-09,final,27.710897,154.6625
2000-01-10,final,28.250838,155.2000
2000-01-11,final,29.336258,156.2722
2000-01-12,final,28.665276,158.9728
2000-01-13,final,28.429127,160.6712
2000-01-14,final,28.004095,162.3300
2000-01-15,final,27.338715,164.1423
2000-01-16,final,26.542830,165.8044
2000-01-17,final,26.229825,166.4520
2000-01-18,final,25.447465,169.0149
2000-01-19,final,25.682795,167.9526
2000-01-20,final,25.257169,168.0605
2000-01-21,final,24.682962,167.7756
2000-01-22,final,26.925084,164.4706
2000-01-23,final,27.871723,162.7256
2000-01-24,final,27.784093,160.5850
2000-01-25,final,28.783132,164.1089
2000-01-26,final,33.893098,159.1576
2000-01-27,final,39.479858,159.5652
2000-01-28,final,40.578208,160.8461
2000-01-29,final,41.106004,161.8143
2000-01-30,final,41.167684,163.7841
2000-01-31,final,40.522061,164.9426
2000-02-01,final,41.693161,163.5840
2000-02-02,final,41.499193,165.1736
2000-02-03,final,40.634317,168.3976
2000-02-04,final,40.031648,170.8661
2000-02-05,final,39.632249,172.8805
2000-02-06,final,38.815557,175.5988
2000-02-07,final,37.989900,177.8836
2000-02-08,final,37.215904,179.2786
2000-02-09,final,36.214633,180.1047
2000-02-10,final,36.312385,178.2849
2000-02-11,final,40.126416,171.3852
2000-02-12,final,41.249958,170.8686
2000-02-13,final,46.983182,168.3427
2000-02-14,final,48.265717,168.3858
2000-02-15,final,48.347208,171.0622
2000-02-16,final,47.989626,171.6580
2000-02-17,final,48.989934,172.8698
2000-02-18,final,54.844241,171.4998
2000-02-19,final,55.449171,171.9641
2000-02-20,final,54.978242,174.1187
2000-02-21,final,54.232305,176.8126
2000-02-22,final,53.261540,176.6315
2000-02-23,final,54.035286,178.0027
2000-02-24,final,53.473462,177.5329
2000-02-25,final,55.870142,179.1021
2000-02-26,final,56.981964,176.1377
2000-02-27,final,56.684871,174.7846
2000-02-28,final,55.795985,175.7416
2000-02-29,final,57.089152,180.4741
2000-03-01,final,56.528863,181.2447
2000-03-02,final,57.253767,181.6427
2000-03-03,final,58.329409,185.1034
2000-03-04,final,57.184411,185.6526
2000-03-05,final,55.630842,187.3360
2000-03-06,final,56.740426,190.2118
2000-03-07,final,57.916803,184.8261
2000-03-08,final,61.802655,192.0821
2000-03-09,final,62.047653,189.4702
2000-03-10,final,64.558302,185.4016
2000-03-11,final,64.962106,186.9878
2000-03-12,final,65.284232,186.5608
2000-03-13,final,65.287916,185.6984
2000-03-14,final,64.229916,186.2731
2000-03-15,final,63.219584,185.4267
2000-03-16,final,71.717388,184.7494
2000-03-17,final,71.115697,188.1441
2000-03-18,final,71.227289,188.8542
2000-03-19,final,71.841844,188.1273
2000-03-20,final,72.302873,190.0136
2000-03-21,final,79.902648,180.7504
2000-03-22,final,80.783233,183.3747
2000-03-23,final,81.570621,187.1977
2000-03-24,final,79.249975,192.3733
2000-03-25,final,76.930983,196.6933
2000-03-26,final,74.355037,198.2312
2000-03-27,final,72.032616,196.4394
2000-03-28,final,69.729687,194.3316
2000-03-29,final,71.782686,191.9698
2000-03-30,final,71.339490,194.8514
2000-03-31,final,80.337295,193.8452
2000-04-01,final,83.323524,192.6146
2000-04-02,final,82.937177,194.4150
2000-04-03,final,84.179979,196.0488
2000-04-04,final,83.272591,197.7037
2000-04-05,final,79.671707,200.1080
2000-04-06,final,75.526318,193.8566
2000-04-07,final,72.646193,197.3151
2000-04-08,final,71.275296,191.7701
2000-04-09,final,69.559506,191.9168
2000-04-10,final,66.777835,190.9567
2000-04-11,final,66.594582,192.9931
2000-04-12,final,65.891798,193.7301
2000-04-13,final,63.439124,196.3420
2000-04-14,final,60.557201,197.8659
2000-04-15,final,59.923370,205.2270
2000-04-16,final,61.627164,203.2595
2000-04-17,final,60.040296,202.8909
2000-04-18,final,57.661729,198.4075
2000-04-19,final,56.913609,203.3247
2000-04-20,final,58.221875,201.3689
2000-04-21,final,56.675342,201.7939
2000-04-22,final,54.489737,199.6778
2000-04-23,final,56.402153,195.1326
2000-04-24,final,54.825566,191.9351
2000-04-25,final,54.514232,193.7517
2000-04-26,final,53.248905,192.8711
2000-04-27,final,50.894786,187.5093
2000-04-28,final,47.366630,186.3079
2000-04-29,final,44.065600,186.6714
2000-04-30,final,43.502930,198.0851
2000-05-01,final,43.975555,198.2822
2000-05-02,final,41.709436,195.9707
2000-05-03,final,38.083606,194.0700
2000-05-04,final,34.667133,185.9552
2000-05-05,final,31.318595,178.6850
2000-05-06,final,28.407801,177.4758
2000-05-07,final,25.967723,172.6699
2000-05-08,final,24.411449,169.3477
2000-05-09,final,25.570799,165.3957
2000-05-10,final,24.123834,165.1946
2000-05-11,final,21.171965,165.9670
2000-05-12,final,21.054856,175.3117
2000-05-13,final,20.913606,169.1244
2000-05-14,final,20.209367,167.1886
2000-05-15,final,19.010669,162.9581
2000-05-16,final,17.467858,157.4294
2000-05-17,final,15.954816,161.1875
2000-05-18,final,18.643814,162.0926
2000-05-19,final,18.362693,159.6359
2000-05-20,final,16.838410,155.5161
2000-05-21,final,15.453627,152.3858
2000-05-22,final,13.998909,147.9158
2000-05-23,final,12.036848,140.1609
