date,frsno,snodp_m,snomas_kg_m2,depth_m
2021-10-01,0.00774445,0.08407385,0.201356,0.00123615
2021-10-02,0.00389297,0.06588966,0.101217,0.00061703
2021-10-03,0.00049270,0.03711077,0.012810,0.00006577
2021-10-04,0.00001944,0.00533104,0.000505,0.00000118
2021-10-05,0.00000000,0.00000000,0.000000,0.00000000
2021-10-06,0.00012809,0.00617582,0.003330,0.00000804
2021-10-07,0.00005510,0.00681876,0.001433,0.00000606
2021-10-08,0.00000459,0.00135155,0.000119,0.00000031
2021-10-09,0.00055553,0.01621189,0.014444,0.00007239
2021-10-10,0.00169132,0.07307686,0.043974,0.00026003
2021-10-11,0.00069295,0.03128728,0.018017,0.00009824
2021-10-12,0.01768710,0.09514113,0.459865,0.00243026
2021-10-13,0.08919410,0.14262481,2.319047,0.01535254
2021-10-14,0.08903435,0.14788559,2.314893,0.01536135
2021-10-15,0.11430215,0.15104144,2.971856,0.01972489
2021-10-16,0.06882142,0.14179457,1.789357,0.01187708
2021-10-17,0.01637295,0.11906389,0.425697,0.00277477
2021-10-18,0.00335939,0.08323955,0.087344,0.00054272
2021-10-19,0.01083172,0.09897336,0.281625,0.00170980
2021-10-20,0.01934397,0.10399472,0.502943,0.00324742
2021-10-21,0.00733349,0.09259307,0.190671,0.00121994
2021-10-22,0.00254423,0.07684384,0.066150,0.00040349
2021-10-23,0.00068473,0.05588883,0.017803,0.00010095
2021-10-24,0.01171505,0.09126999,0.304591,0.00195898
2021-10-25,0.00758511,0.06784441,0.197213,0.00123142
2021-10-26,0.00984453,0.08568765,0.255958,0.00132349
2021-10-27,0.06497181,0.13302780,1.689267,0.01118423
2021-10-28,0.05472250,0.13134551,1.422785,0.00939439
2021-10-29,0.02394129,0.11419553,0.622473,0.00404111
2021-10-30,0.00719979,0.09960316,0.187195,0.00120213
2021-10-31,0.00247381,0.09033163,0.064319,0.00040838
2021-11-01,0.01121362,0.10518180,0.291554,0.00191182
2021-11-02,0.03697040,0.12162395,0.961230,0.00630064
2021-11-03,0.06336218,0.10346687,1.647417,0.01078980
2021-11-04,0.02694459,0.09353259,0.700559,0.00458978
2021-11-05,0.00984730,0.09117698,0.256030,0.00167815
2021-11-06,0.00355381,0.07344667,0.092399,0.00059355
2021-11-07,0.00114467,0.05624782,0.029761,0.00018318
2021-11-08,0.00042459,0.04269398,0.011039,0.00006146
2021-11-09,0.00021975,0.03661375,0.005714,0.00002612
2021-11-10,0.04195073,0.12413651,1.090719,0.00712351
2021-11-11,0.06136861,0.11340961,1.595584,0.01050994
2021-11-12,0.08377708,0.12869656,2.178204,0.01438408
2021-11-13,0.05855044,0.11369991,1.522311,0.01004170
2021-11-14,0.03162328,0.10861648,0.822205,0.00543153
2021-11-15,0.01542689,0.09566031,0.401099,0.00262898
2021-11-16,0.00738617,0.07796848,0.192040,0.00121403
2021-11-17,0.00969208,0.08582417,0.251994,0.00164244
2021-11-18,0.01110237,0.07795519,0.288662,0.00183447
2021-11-19,0.01097992,0.08972560,0.285478,0.00179053
2021-11-20,0.01612221,0.10141768,0.419177,0.00270266
2021-11-21,0.02787890,0.11004783,0.724851,0.00466812
2021-11-22,0.02189418,0.09078598,0.569249,0.00362189
2021-11-23,0.01398359,0.09406298,0.363573,0.00232097
2021-11-24,0.03352473,0.14444400,0.871643,0.00573856
2021-11-25,0.05778026,0.14254992,1.502287,0.00979925
2021-11-26,0.04352730,0.13829378,1.131710,0.00740419
2021-11-27,0.02585527,0.13792579,0.672237,0.00441589
2021-11-28,0.01626101,0.13586853,0.422786,0.00277654
2021-11-29,0.00913765,0.12121014,0.237579,0.00153557
2021-11-30,0.00491246,0.09996788,0.127724,0.00079965
2021-12-01,0.00318607,0.09088358,0.082838,0.00051634
