date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
2009-10-01,final,0.843493,123.3585,0.00574602,0.05746025
2009-10-02,final,1.092125,114.1691,0.00733742,0.07337421
2009-10-03,final,1.004625,113.8414,0.00673033,0.06730333
2009-10-04,final,0.885221,119.3396,0.00587878,0.05878785
2009-10-05,final,1.519823,119.7559,0.01019676,0.10073579
2009-10-06,final,2.615809,123.8724,0.01748802,0.17135041
2009-10-07,final,2.456410,123.6416,0.01628845,0.16011456
2009-10-08,final,2.016778,125.4471,0.01338841,0.13208858
2009-10-09,final,3.402457,135.3135,0.02248432,0.21978335
2009-10-10,final,4.620101,135.5521,0.03184073,0.28622066
2009-10-11,final,4.664520,133.9312,0.03127572,0.27418803
2009-10-12,final,5.007219,133.5874,0.03229539,0.26655640
2009-10-13,final,4.451424,132.9495,0.02811557,0.24993467
2009-10-14,final,3.570456,129.8681,0.02199324,0.20982605
2009-10-15,final,3.188581,126.2754,0.01971355,0.18365555
2009-10-16,final,2.446797,124.6614,0.01484534,0.14090225
2009-10-17,final,1.941506,123.1428,0.01153195,0.11160180
2009-10-18,final,1.355799,120.4921,0.00792339,0.07888918
2009-10-19,final,0.831109,116.8310,0.00483508,0.04835084
2009-10-20,final,0.564313,114.0370,0.00332007,0.03320067
2009-10-21,final,3.033350,137.6583,0.02019382,0.20135848
2009-10-22,final,7.819974,137.7602,0.05025345,0.40884313
2009-10-23,final,7.453695,138.3941,0.04676462,0.39888181
2009-10-24,final,6.998868,141.5010,0.04300397,0.39226446
2009-10-25,final,6.775873,142.2798,0.04231469,0.39965971
2009-10-26,final,8.910560,139.9851,0.05777390,0.46942154
2009-10-27,final,8.595106,140.5814,0.05497899,0.45380786
2009-10-28,final,12.893901,150.3787,0.08634611,0.65010018
2009-10-29,final,21.695094,148.0557,0.14894201,0.85565849
2009-10-30,final,24.060754,151.1296,0.16003049,0.87872867
2009-10-31,final,24.259055,154.1910,0.15708486,0.87834594
2009-11-01,final,22.540658,159.0025,0.14011161,0.83961362
2009-11-02,final,20.090077,163.5615,0.12017127,0.77386065
2009-11-03,final,17.982414,166.7571,0.10391114,0.70564150
2009-11-04,final,15.464745,169.3266,0.08655374,0.62157429
2009-11-05,final,12.823043,171.6769,0.06961032,0.52305262
2009-11-06,final,10.229491,172.6892,0.05391052,0.41854190
2009-11-07,final,8.108772,169.3021,0.04156736,0.33402104
2009-11-08,final,6.573331,165.7406,0.03301508,0.27893321
2009-11-09,final,5.954924,160.4970,0.02982456,0.25546686
2009-11-10,final,5.372104,157.4300,0.02656573,0.23406397
2009-11-11,final,4.753719,154.1534,0.02312584,0.20926084
2009-11-12,final,4.101576,150.2560,0.01964999,0.18219529
2009-11-13,final,4.805185,149.9714,0.02586730,0.24543535
2009-11-14,final,9.190431,153.7194,0.05666341,0.49430638
2009-11-15,final,15.149242,147.7943,0.10290905,0.74376449
2009-11-16,final,16.563626,151.3337,0.10926927,0.80015726
2009-11-17,final,16.348981,152.3946,0.10652247,0.79092246
2009-11-18,final,16.009092,154.6434,0.10199639,0.77575934
2009-11-19,final,15.390733,155.7642,0.09631321,0.74755570
2009-11-20,final,15.066449,157.2435,0.09315527,0.73092432
2009-11-21,final,14.612404,159.1190,0.08895486,0.70838719
2009-11-22,final,14.304139,160.3303,0.08688401,0.68700944
2009-11-23,final,15.012018,156.2668,0.09518626,0.69041091
2009-11-24,final,15.111128,156.5542,0.09520907,0.68647629
2009-11-25,final,14.860916,157.2378,0.09308535,0.67641851
2009-11-26,final,14.471319,158.5968,0.08959010,0.65754042
2009-11-27,final,13.659495,160.7753,0.08274973,0.61803270
2009-11-28,final,12.997760,162.5355,0.07732869,0.58674958
2009-11-29,final,13.515467,160.5152,0.08162852,0.61452355
2009-11-30,final,13.390922,160.2026,0.08031988,0.60826835
2009-12-01,final,12.999900,160.9611,0.07712278,0.58933392
2009-12-02,final,13.314203,157.4259,0.08151583,0.60503176
2009-12-03,final,14.139577,150.3372,0.09107662,0.66327972
2009-12-04,final,14.267808,151.0543,0.09179149,0.66914935
2009-12-05,final,14.050342,153.6524,0.08870334,0.65420996
2009-12-06,final,14.565411,149.3500,0.09687632,0.67033826
2009-12-07,final,16.867818,140.2087,0.12073921,0.73497368
2009-12-08,final,29.254334,132.2574,0.22192860,0.91299411
2009-12-09,final,33.777002,135.8806,0.24602221,0.93739546
2009-12-10,final,33.808413,143.2142,0.23349228,0.92822525
2009-12-11,final,33.689786,149.2345,0.22428008,0.91957983
2009-12-12,final,33.854682,151.9942,0.22245444,0.91477535
2009-12-13,final,35.687878,152.6974,0.23411960,0.90917651
2009-12-14,final,41.861831,154.6165,0.27104212,0.89092156
2009-12-15,final,41.874041,155.9000,0.26721424,0.88284465
2009-12-16,final,41.664621,156.9167,0.26226084,0.87788046
2009-12-17,final,41.357068,158.8445,0.25627015,0.86534618
2009-12-18,final,41.251574,160.9887,0.25206186,0.85403107
2009-12-19,final,41.175182,161.6342,0.24865930,0.85084192
2009-12-20,final,41.025979,162.9546,0.24505806,0.84630034
2009-12-21,final,40.740813,164.9457,0.23968738,0.83694012
2009-12-22,final,40.413443,166.8960,0.23424123,0.82649567
2009-12-23,final,44.541408,163.1833,0.26616526,0.89381462
2009-12-24,final,46.933296,161.0817,0.28471228,0.93527288
2009-12-25,final,46.876314,162.2377,0.28214857,0.93275206
2009-12-26,final,47.631833,160.6247,0.29103916,0.93928353
2009-12-27,final,47.772956,161.5097,0.29010921,0.94000680
2009-12-28,final,47.692404,162.2975,0.28708738,0.93580657
2009-12-29,final,47.643571,163.2957,0.28412146,0.93274403
2009-12-30,final,49.071174,161.4730,0.29616239,0.93108814
2009-12-31,final,51.663979,158.3368,0.31986957,0.93583145
2010-01-01,final,50.834465,159.8745,0.31186537,0.92785617
2010-01-02,final,50.788326,161.3195,0.30681231,0.91775169
2010-01-03,final,51.492279,162.9848,0.30896980,0.90796617
2010-01-04,final,51.570153,164.3176,0.30585036,0.90823178
2010-01-05,final,51.446080,165.6340,0.30128002,0.90288409
2010-01-06,final,51.547144,167.1721,0.29873877,0.88839765
2010-01-07,final,52.905062,164.8322,0.30729252,0.90569701
2010-01-08,final,52.794476,167.2921,0.30303340,0.90014736
2010-01-09,final,52.627152,168.7530,0.29937957,0.89559220
2010-01-10,final,52.362114,169.8528,0.29454488,0.88731354
2010-01-11,final,52.073125,171.8358,0.28894984,0.87572979
2010-01-12,final,51.762124,173.9344,0.28313921,0.86265687
2010-01-13,final,51.320148,176.1477,0.27637542,0.84665973
2010-01-14,final,50.948430,177.5374,0.27037348,0.83229990
2010-01-15,final,50.697293,179.4968,0.26511507,0.82377549
2010-01-16,final,50.433707,180.8136,0.26058385,0.81531220
2010-01-17,final,50.053249,182.9723,0.25473055,0.80272149
2010-01-18,final,49.787545,184.8985,0.24956175,0.79262366
2010-01-19,final,51.629525,182.2997,0.26300409,0.79276291
2010-01-20,final,54.009810,179.7679,0.28099293,0.79431025
2010-01-21,final,56.048475,175.8206,0.29665008,0.79553046
2010-01-22,final,65.621431,171.3848,0.36465536,0.80593857
2010-01-23,final,69.596717,171.4451,0.38738407,0.80624007
2010-01-24,final,71.041833,169.9771,0.39619677,0.80559139
2010-01-25,final,71.627829,170.6852,0.39673315,0.80445965
2010-01-26,final,71.634220,171.4814,0.39094721,0.80342327
2010-01-27,final,72.053284,173.1102,0.38797139,0.80166725
2010-01-28,final,74.880195,172.7846,0.40468980,0.81479491
2010-01-29,final,77.002917,174.4660,0.41072407,0.86724973
2010-01-30,final,76.883018,178.4931,0.40045964,0.86102680
2010-01-31,final,76.696404,181.4961,0.39168195,0.85519776
2010-02-01,final,76.626330,183.4023,0.38583268,0.85064753
2010-02-02,final,76.626648,184.8641,0.38155579,0.84724421
2010-02-03,final,76.435797,186.0399,0.37578048,0.84325190
2010-02-04,final,78.612072,186.6355,0.39014456,0.87580912
2010-02-05,final,78.467069,189.1380,0.38350988,0.87089563
2010-02-06,final,78.370361,190.0015,0.37814710,0.86479818
2010-02-07,final,79.765413,190.4505,0.38562336,0.86151604
2010-02-08,final,83.960199,186.3266,0.41680098,0.90440271
