date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1986-10-01,final,8.485314,140.2540,0.05171850,0.37297759,2.343375,13.122537,0.01557934,0.07900392
1986-10-02,final,7.067880,138.7099,0.04144158,0.31311029,1.610093,11.188562,0.01052676,0.06478256
1986-10-03,final,6.738899,138.9440,0.03943992,0.29369108,1.532155,10.670041,0.01007228,0.06161277
1986-10-04,final,8.785029,139.6955,0.05307576,0.37534590,1.837041,14.030826,0.01259260,0.08364095
1986-10-05,final,7.852968,138.1940,0.04610530,0.33362943,1.331500,12.776740,0.00940164,0.07381692
1986-10-06,final,6.695353,138.0536,0.03816187,0.28455112,0.974760,11.014456,0.00684457,0.06180673
1986-10-07,final,5.280426,136.9836,0.02932532,0.22596223,0.670964,8.760615,0.00485069,0.04780389
1986-10-08,final,4.186855,135.2533,0.02263792,0.17955908,0.481253,6.984620,0.00353515,0.03706069
1986-10-09,final,3.446288,130.5869,0.01856955,0.14956111,0.376480,5.764022,0.00280800,0.03046968
1986-10-10,final,2.826664,129.4728,0.01497032,0.12205156,0.307801,4.728430,0.00232786,0.02451550
1986-10-11,final,8.022515,141.1541,0.05157736,0.43673856,3.089485,11.747000,0.01947463,0.07581523
1986-10-12,final,15.933318,145.6755,0.11009541,0.76822328,10.374658,20.130161,0.07045543,0.14002398
1986-10-13,final,15.847051,151.5046,0.10415738,0.71888423,9.427089,20.694185,0.06177910,0.13615339
1986-10-14,final,13.712627,152.9921,0.08689599,0.62911137,7.919832,18.086244,0.05076368,0.11417623
1986-10-15,final,12.130330,154.5785,0.07440784,0.55013694,6.154680,16.642005,0.03885904,0.10124752
1986-10-16,final,10.277766,156.4814,0.06091551,0.45410254,4.321366,14.774905,0.02695330,0.08655731
1986-10-17,final,8.449907,156.3282,0.04874673,0.36349198,2.770972,12.737558,0.01750262,0.07233634
1986-10-18,final,6.975047,154.1876,0.03901820,0.28897459,1.675155,10.976517,0.01058609,0.06048471
1986-10-19,final,5.801665,150.9837,0.03138075,0.22841652,0.933294,9.477332,0.00597596,0.05056161
1986-10-20,final,8.019716,145.9217,0.04740051,0.32756374,1.297603,13.094977,0.00888976,0.07647650
1986-10-21,final,8.452342,143.7396,0.05076138,0.32906249,1.770486,13.497207,0.01225934,0.07983080
1986-10-22,final,11.544326,146.5130,0.07093507,0.49136478,3.965057,17.266747,0.02653995,0.10445381
1986-10-23,final,11.343590,147.1112,0.06789726,0.47285756,3.396709,17.343561,0.02238501,0.10225946
1986-10-24,final,10.543781,148.0690,0.06142485,0.43382089,2.600880,16.540748,0.01693889,0.09501217
1986-10-25,final,9.567058,148.6386,0.05401954,0.37864784,1.908589,15.349277,0.01229874,0.08551914
1986-10-26,final,8.832104,148.8704,0.04851846,0.33478256,1.416305,14.431103,0.00899895,0.07835608
1986-10-27,final,7.987650,147.0413,0.04254631,0.28918502,1.040423,13.232874,0.00664315,0.06965355
1986-10-28,final,7.131079,144.0264,0.03699828,0.24613525,0.734391,11.960641,0.00478291,0.06132119
1986-10-29,final,6.463501,141.2808,0.03253651,0.21397867,0.568401,10.914358,0.00374013,0.05427806
1986-10-30,final,5.936439,138.9942,0.02924222,0.18999653,0.455271,10.074773,0.00323273,0.04887964
1986-10-31,final,6.868247,143.5858,0.03591624,0.25647351,2.363270,10.269549,0.01586580,0.05105451
1986-11-01,final,23.205232,146.2673,0.15015297,0.80330174,14.813626,29.540977,0.09905408,0.18873313
1986-11-02,final,30.670855,149.9802,0.19769567,0.90304873,18.693457,39.713906,0.12375378,0.25352251
1986-11-03,final,29.796093,157.2266,0.18147509,0.87852723,17.627378,38.983590,0.11173205,0.23413176
1986-11-04,final,27.643807,160.3529,0.16403164,0.84741795,16.949618,35.718023,0.10580072,0.20799655
1986-11-05,final,26.765845,163.6216,0.15474395,0.82374479,16.658111,34.397283,0.10087841,0.19541295
1986-11-06,final,25.783661,168.1284,0.14399660,0.79689903,15.307416,33.693328,0.08947313,0.18516235
1986-11-07,final,30.474358,162.8243,0.17916350,0.90095791,19.266014,38.936767,0.11680764,0.22624279
1986-11-08,final,32.063848,157.6191,0.19634731,0.92781111,20.977764,40.433948,0.13206454,0.24488142
1986-11-09,final,33.259621,156.5323,0.20648978,0.92873920,21.594258,42.067083,0.13599671,0.25971273
1986-11-10,final,33.541636,157.4510,0.20674755,0.92719927,21.715888,42.470189,0.13646886,0.25980864
1986-11-11,final,33.574004,158.8636,0.20473751,0.92275006,21.552108,42.650653,0.13454865,0.25773077
1986-11-12,final,33.446011,160.1491,0.20195208,0.91459479,21.208797,42.685225,0.13181802,0.25490397
1986-11-13,final,33.661120,161.4852,0.20072040,0.91193256,21.131640,43.120999,0.12993807,0.25416175
1986-11-14,final,32.941444,164.7604,0.19187768,0.89341069,20.119528,42.622115,0.12070842,0.24561116
1986-11-15,final,31.723138,168.9280,0.17931595,0.86289465,18.576314,41.649117,0.10794114,0.23320461
1986-11-16,final,30.926090,172.7673,0.17027247,0.82640672,16.986333,41.450741,0.09571735,0.22656231
1986-11-17,final,30.207892,175.9312,0.16237667,0.79730194,15.665131,41.187817,0.08562169,0.22032742
1986-11-18,final,29.518658,179.0613,0.15497817,0.76225426,14.121779,41.143450,0.07536558,0.21508645
1986-11-19,final,30.830081,178.3572,0.16308880,0.73835254,12.693107,44.523671,0.06683264,0.23576314
1986-11-20,final,30.129050,179.6881,0.15685127,0.69953434,10.727713,44.777247,0.05623521,0.23281736
1986-11-21,final,29.194969,180.8898,0.14829275,0.67285292,9.698526,43.914972,0.04999427,0.22250906
1986-11-22,final,30.162598,177.4417,0.15619131,0.67523867,10.087779,45.319280,0.05463780,0.23286520
1986-11-23,final,34.998207,164.6649,0.19844035,0.83534834,14.333965,50.599910,0.08516326,0.28396565
1986-11-24,final,34.256729,167.3846,0.19074893,0.83733634,14.628976,49.075873,0.08578961,0.26999423
1986-11-25,final,33.902960,170.4174,0.18476722,0.82526681,14.070252,48.876847,0.08077533,0.26328210
