date,frsno,snodp_m,snomas_kg_m2,depth_m
2012-10-01,0.00000000,0.00000000,0.000000,0.00000000
2012-10-02,0.00000000,0.00000000,0.000000,0.00000000
2012-10-03,0.00000000,0.00000000,0.000000,0.00000000
2012-10-04,0.00000034,0.00657627,0.000009,0.00000002
2012-10-05,0.00158117,0.02798934,0.041111,0.00019686
2012-10-06,0.00558572,0.06761475,0.145229,0.00093910
2012-10-07,0.00709637,0.06797786,0.184506,0.00118089
2012-10-08,0.00258177,0.04134574,0.067126,0.00041429
2012-10-09,0.00058587,0.02978577,0.015233,0.00008474
2012-10-10,0.00014579,0.01282593,0.003790,0.00001577
2012-10-11,0.00001783,0.00355231,0.000464,0.00000102
2012-10-12,0.00000032,0.00140568,0.000008,0.00000000
2012-10-13,0.01406972,0.07783672,0.365813,0.00216870
2012-10-14,0.01272525,0.07462967,0.330856,0.00206041
2012-10-15,0.00266884,0.05789346,0.069390,0.00042281
2012-10-16,0.00043928,0.03758827,0.011421,0.00006620
2012-10-17,0.00367932,0.03579512,0.095662,0.00055836
2012-10-18,0.00334671,0.02364618,0.087015,0.00050738
2012-10-19,0.00188864,0.02756045,0.049105,0.00027199
2012-10-20,0.00053212,0.02445267,0.013835,0.00007529
2012-10-21,0.00010792,0.01315948,0.002806,0.00001392
2012-10-22,0.00011702,0.00851310,0.003042,0.00000789
2012-10-23,0.00007776,0.00740566,0.002022,0.00000877
2012-10-24,0.00184426,0.02472355,0.047951,0.00018675
2012-10-25,0.05714245,0.14031882,1.485704,0.00975890
2012-10-26,0.10937430,0.15141042,2.843732,0.01887323
2012-10-27,0.09324235,0.13703673,2.424301,0.01611369
2012-10-28,0.06734699,0.13591507,1.751022,0.01164621
2012-10-29,0.03071123,0.12865238,0.798492,0.00530545
2012-10-30,0.01205305,0.10613507,0.313379,0.00205608
2012-10-31,0.00401036,0.06998809,0.104269,0.00064013
2012-11-01,0.00123656,0.04422355,0.032151,0.00019269
2012-11-02,0.00046024,0.03032634,0.011966,0.00006919
2012-11-03,0.00020842,0.02402713,0.005419,0.00002948
2012-11-04,0.00008683,0.01457640,0.002258,0.00000992
2012-11-05,0.00004336,0.00887020,0.001127,0.00000338
2012-11-06,0.00001008,0.00189209,0.000262,0.00000054
2012-11-07,0.00000153,0.00016857,0.000040,0.00000002
2012-11-08,0.00000058,0.00013784,0.000015,0.00000000
2012-11-09,0.00747842,0.03164192,0.194439,0.00093599
2012-11-10,0.08110328,0.10766946,2.108685,0.01247328
2012-11-11,0.21465058,0.17103389,5.580915,0.03719192
2012-11-12,0.23355895,0.16411187,6.072533,0.04032394
2012-11-13,0.18480052,0.16050684,4.804814,0.03190916
2012-11-14,0.14444213,0.16069976,3.755495,0.02495434
2012-11-15,0.10912489,0.15818051,2.837247,0.01885994
2012-11-16,0.07375181,0.15523388,1.917547,0.01275340
2012-11-17,0.04750390,0.14693520,1.235101,0.00820439
2012-11-18,0.03543575,0.13341882,0.921329,0.00606766
2012-11-19,0.03025884,0.11662343,0.786730,0.00511578
2012-11-20,0.02201814,0.10125158,0.572472,0.00364118
2012-11-21,0.01244822,0.08033811,0.323654,0.00204547
2012-11-22,0.00841028,0.06873069,0.218667,0.00137218
2012-11-23,0.00747310,0.07012130,0.194301,0.00122291
2012-11-24,0.00565907,0.06389301,0.147136,0.00092121
2012-11-25,0.00463920,0.05812701,0.120619,0.00075506
2012-11-26,0.00463840,0.06512673,0.120599,0.00075351
2012-11-27,0.00493682,0.06052156,0.128357,0.00080371
2012-11-28,0.00416482,0.05453799,0.108285,0.00067728
2012-11-29,0.00354768,0.05042393,0.092240,0.00057502
2012-11-30,0.00317977,0.05216407,0.082674,0.00050798
2012-12-01,0.00387565,0.05344675,0.100767,0.00058682
2012-12-02,0.00340841,0.05206063,0.088619,0.00053394
2012-12-03,0.00995529,0.07952767,0.258838,0.00162875
2012-12-04,0.01518366,0.06918248,0.394775,0.00252706
2012-12-05,0.01272328,0.06203049,0.330805,0.00211315
2012-12-06,0.01138433,0.07798689,0.295992,0.00186067
2012-12-07,0.01276801,0.08870360,0.331968,0.00211419
2012-12-08,0.01881872,0.09702512,0.489287,0.00311508
2012-12-09,0.06750160,0.16054653,1.755042,0.01137288
2012-12-10,0.12458917,0.15073935,3.239318,0.02116824
2012-12-11,0.17231508,0.16607039,4.480192,0.02974892
2012-12-12,0.17542567,0.15221917,4.561067,0.02974530
2012-12-13,0.15296911,0.14943844,3.977197,0.02587861
2012-12-14,0.17523485,0.16097533,4.556106,0.02959819
2012-12-15,0.28481721,0.16654578,7.405282,0.04908146
2012-12-16,0.36503952,0.16840225,9.577716,0.06355684
2012-12-17,0.39840255,0.16773147,10.503767,0.06947874
2012-12-18,0.42608802,0.17177366,11.478363,0.07574529
2012-12-19,0.54353544,0.18320013,15.831695,0.10381698
2012-12-20,0.61181938,0.18684005,18.266797,0.11918009
2012-12-21,0.58718711,0.18492423,17.472399,0.11300891
2012-12-22,0.53777744,0.18302106,16.031995,0.10249072
2012-12-23,0.49889416,0.18154510,14.919558,0.09427827
2012-12-24,0.48261305,0.18120229,14.560548,0.09114762
2012-12-25,0.55439703,0.18632843,17.328302,0.10859560
2012-12-26,0.56300679,0.18610892,17.641417,0.10992250
2012-12-27,0.57387683,0.18846506,18.414738,0.11409591
2012-12-28,0.58899481,0.19106432,19.333303,0.11927543
2012-12-29,0.58412981,0.19101080,19.312393,0.11841591
2012-12-30,0.57162901,0.18950633,18.875026,0.11480360
2012-12-31,0.58066040,0.19003444,19.312628,0.11685532
2013-01-01,0.60530279,0.19127435,20.252550,0.12231529
2013-01-02,0.60073486,0.19050208,20.108957,0.12078152
2013-01-03,0.59381510,0.18968737,19.890140,0.11880478
2013-01-04,0.58205847,0.18836814,19.461204,0.11549182
2013-01-05,0.56567911,0.18732551,18.959279,0.11163585
2013-01-06,0.54599164,0.18622980,18.358882,0.10715557
2013-01-07,0.51208718,0.18480684,17.340455,0.09989575
2013-01-08,0.47238990,0.18338735,16.164739,0.09170476
2013-01-09,0.43640175,0.18196457,15.087603,0.08421840
2013-01-10,0.40088476,0.17978237,13.969723,0.07660778
2013-01-11,0.41803473,0.17992864,14.595085,0.08025638
2013-01-12,0.45360078,0.18331769,15.932848,0.08865631
2013-01-13,0.46055729,0.18442313,16.252567,0.09049676
2013-01-14,0.46739047,0.18489074,16.527890,0.09205432
2013-01-15,0.46705964,0.18388241,16.481485,0.09151776
2013-01-16,0.46012419,0.18330623,16.298459,0.09001920
2013-01-17,0.43672078,0.18196818,15.562731,0.08485566
2013-01-18,0.40616915,0.18069499,14.616667,0.07840018
2013-01-19,0.37896984,0.17917607,13.698643,0.07234620
2013-01-20,0.35390147,0.17758755,12.801699,0.06663341
2013-01-21,0.33549839,0.17610270,12.095901,0.06221777
2013-01-22,0.31553940,0.17316701,11.262694,0.05735123
2013-01-23,0.29007787,0.16608066,10.185230,0.05125951
2013-01-24,0.25960772,0.15867563,8.957534,0.04443714
2013-01-25,0.23659550,0.14579610,8.249760,0.04014228
2013-01-26,0.21864827,0.14537900,7.641467,0.03701825
