date,frsno,snodp_m,snomas_kg_m2,depth_m
1992-10-01,0.00000000,0.00000000,0.000000,0.00000000
1992-10-02,0.00000000,0.00000000,0.000000,0.00000000
1992-10-03,0.00000000,0.00000000,0.000000,0.00000000
1992-10-04,0.00000000,0.00000000,0.000000,0.00000000
1992-10-05,0.00000000,0.00000000,0.000000,0.00000000
1992-10-06,0.00000277,0.01080778,0.000072,0.00000018
1992-10-07,0.02417982,0.10428564,0.628675,0.00359844
1992-10-08,0.02738653,0.09946413,0.712050,0.00461306
1992-10-09,0.01293847,0.08771563,0.336400,0.00216007
1992-10-10,0.00435387,0.06395859,0.113201,0.00069541
1992-10-11,0.00090165,0.03824250,0.023443,0.00013554
1992-10-12,0.00011978,0.01670183,0.003114,0.00001412
1992-10-13,0.00000418,0.00129772,0.000109,0.00000034
1992-10-14,0.00000016,0.00140871,0.000004,0.00000000
1992-10-15,0.00009701,0.00328648,0.002522,0.00000863
1992-10-16,0.00053003,0.03325923,0.013781,0.00007538
1992-10-17,0.00051333,0.01849350,0.013346,0.00007779
1992-10-18,0.00022279,0.01693434,0.005792,0.00003135
1992-10-19,0.00006906,0.00698311,0.001796,0.00000910
1992-10-20,0.00001114,0.00283162,0.000290,0.00000115
1992-10-21,0.00000000,0.00000000,0.000000,0.00000000
1992-10-22,0.00000000,0.00000040,0.000000,0.00000000
1992-10-23,0.00000000,0.00000000,0.000000,0.00000000
1992-10-24,0.00000000,0.00000000,0.000000,0.00000000
1992-10-25,0.00015524,0.00853477,0.004036,0.00002004
1992-10-26,0.00368000,0.03294081,0.095680,0.00053775
1992-10-27,0.00157865,0.02349155,0.041045,0.00022601
1992-10-28,0.00104560,0.03133917,0.027186,0.00015605
1992-10-29,0.01670175,0.09124752,0.434246,0.00268224
1992-10-30,0.01815823,0.09242361,0.472114,0.00295655
1992-10-31,0.11222898,0.12388928,2.917954,0.01861904
1992-11-01,0.18810093,0.15371873,4.890624,0.03234534
1992-11-02,0.26703757,0.15944460,7.184050,0.04735529
1992-11-03,0.38288129,0.17691258,10.933504,0.07182258
1992-11-04,0.39632002,0.17692955,11.433885,0.07450776
1992-11-05,0.38302453,0.17574201,11.082444,0.07169128
1992-11-06,0.37012750,0.17319388,10.774695,0.06914388
1992-11-07,0.33321972,0.17025587,9.792519,0.06215341
1992-11-08,0.29218626,0.16864713,8.772096,0.05482796
1992-11-09,0.28403560,0.16968397,8.946907,0.05539081
1992-11-10,0.29943916,0.17503121,9.883752,0.06086961
1992-11-11,0.40462923,0.18539142,13.220178,0.08216682
1992-11-12,0.41176915,0.18548255,13.437272,0.08304934
1992-11-13,0.36363606,0.18453082,12.141885,0.07376361
1992-11-14,0.30436943,0.18215622,10.412309,0.06161673
1992-11-15,0.23307717,0.17391548,7.896310,0.04489354
1992-11-16,0.18059180,0.16494999,5.855092,0.03182767
1992-11-17,0.15292501,0.15275584,4.714032,0.02506363
1992-11-18,0.12797034,0.14361233,3.914975,0.02063835
1992-11-19,0.12754298,0.14271854,3.917410,0.02070638
1992-11-20,0.18446992,0.16458282,5.492967,0.03080342
1992-11-21,0.34765907,0.17129326,9.878770,0.05957627
1992-11-22,0.34648340,0.17118882,9.846285,0.05933276
1992-11-23,0.38545783,0.17248680,11.082466,0.06683992
1992-11-24,0.45776994,0.17416130,13.248393,0.08080695
1992-11-25,0.46638627,0.17408809,13.473472,0.08223273
1992-11-26,0.45642169,0.17384599,13.193489,0.08029313
1992-11-27,0.41465704,0.17344506,12.066534,0.07276172
1992-11-28,0.37162621,0.17332280,10.941085,0.06521812
1992-11-29,0.38678594,0.17449048,11.535436,0.06892197
1992-11-30,0.39212806,0.17468570,11.725093,0.07001766
1992-12-01,0.36897238,0.17444135,11.098861,0.06577247
1992-12-02,0.34477462,0.17432681,10.473407,0.06153829
1992-12-03,0.31122171,0.17384606,9.541027,0.05536010
1992-12-04,0.31397619,0.17382069,9.601093,0.05575047
