date,stream,swe_mm_we,snow_density_kg_m3
1987-10-01,final,0.000000,100.0000
1987-10-02,final,0.000000,100.0000
1987-10-03,final,0.000000,100.0000
1987-10-04,final,0.000000,100.0000
1987-10-05,final,0.000000,100.0000
1987-10-06,final,0.000000,100.0000
1987-10-07,final,0.000000,100.0000
1987-10-08,final,0.000000,100.0000
1987-10-09,final,0.000000,100.0532
1987-10-10,final,0.044829,104.1577
1987-10-11,final,0.037150,102.6230
1987-10-12,final,0.024572,102.6251
1987-10-13,final,0.038977,104.8882
1987-10-14,final,1.568736,118.1070
1987-10-15,final,2.051762,122.5547
1987-10-16,final,1.920431,122.9128
1987-10-17,final,1.682227,121.2317
1987-10-18,final,1.358265,119.0324
1987-10-19,final,1.151992,119.5107
1987-10-20,final,1.315974,124.7405
1987-10-21,final,1.196237,122.7686
1987-10-22,final,0.991998,120.9247
1987-10-23,final,0.812151,119.6619
1987-10-24,final,0.837439,118.7107
1987-10-25,final,1.746771,116.4745
1987-10-26,final,1.621222,115.3681
1987-10-27,final,1.267549,113.7842
1987-10-28,final,1.040872,113.6962
1987-10-29,final,0.839467,113.0529
1987-10-30,final,0.955610,112.6085
1987-10-31,final,1.824219,121.7707
1987-11-01,final,1.669710,120.6014
1987-11-02,final,2.093786,117.3755
1987-11-03,final,2.207520,118.7541
1987-11-04,final,1.853625,117.5710
1987-11-05,final,1.528960,117.0968
1987-11-06,final,2.067985,118.1248
1987-11-07,final,3.277451,131.0610
1987-11-08,final,5.493816,140.1394
1987-11-09,final,5.519514,139.0218
1987-11-10,final,5.099112,139.7842
1987-11-11,final,5.450801,141.1121
1987-11-12,final,5.408203,139.5127
1987-11-13,final,5.083798,139.5484
1987-11-14,final,5.239728,142.6376
1987-11-15,final,11.140481,153.1701
1987-11-16,final,17.600986,160.5750
1987-11-17,final,16.978622,158.9101
1987-11-18,final,17.029014,157.2120
1987-11-19,final,15.988865,156.7941
1987-11-20,final,13.899244,157.6413
1987-11-21,final,12.765870,158.2830
1987-11-22,final,11.707756,158.9066
1987-11-23,final,11.218991,157.8098
1987-11-24,final,12.536950,154.5296
1987-11-25,final,12.330435,155.2977
1987-11-26,final,17.675462,145.5939
1987-11-27,final,20.422632,147.8676
1987-11-28,final,18.954120,151.2832
1987-11-29,final,17.764467,153.1010
1987-11-30,final,17.391929,153.9254
1987-12-01,final,17.070289,154.4295
1987-12-02,final,16.621170,155.1059
1987-12-03,final,15.728670,157.0763
1987-12-04,final,14.576837,160.5514
1987-12-05,final,12.995459,162.7701
1987-12-06,final,13.646661,160.9110
1987-12-07,final,12.932878,161.4082
1987-12-08,final,15.376870,161.6276
1987-12-09,final,14.223775,159.4921
1987-12-10,final,14.350604,159.8189
1987-12-11,final,14.960426,159.7784
1987-12-12,final,14.783929,160.1222
1987-12-13,final,17.468814,134.0077
1987-12-14,final,23.841200,132.3377
1987-12-15,final,22.818182,137.8891
1987-12-16,final,22.023469,142.0260
1987-12-17,final,22.427118,145.6821
1987-12-18,final,22.626490,148.5315
1987-12-19,final,23.799171,150.6903
1987-12-20,final,23.872434,149.9588
1987-12-21,final,23.859715,149.9076
1987-12-22,final,23.144973,149.1507
1987-12-23,final,27.061016,149.5567
1987-12-24,final,33.140427,146.5951
1987-12-25,final,34.719821,139.1471
1987-12-26,final,35.933381,137.0295
1987-12-27,final,41.532327,134.3556
1987-12-28,final,46.859054,141.7908
1987-12-29,final,45.034002,148.9305
1987-12-30,final,44.454103,152.1787
1987-12-31,final,45.171271,150.7460
1988-01-01,final,45.383027,151.5300
1988-01-02,final,44.235723,152.5928
1988-01-03,final,43.837719,153.5307
1988-01-04,final,43.595864,154.4914
1988-01-05,final,46.970155,151.5822
1988-01-06,final,54.443292,149.6789
1988-01-07,final,57.985910,151.6055
1988-01-08,final,58.729243,153.9799
1988-01-09,final,59.801276,154.7846
1988-01-10,final,60.410972,156.4219
1988-01-11,final,59.076655,159.5971
1988-01-12,final,59.982932,161.5953
1988-01-13,final,60.677060,161.8782
1988-01-14,final,59.445160,162.7221
1988-01-15,final,58.707906,165.2279
1988-01-16,final,60.280305,166.6041
1988-01-17,final,63.919176,163.2658
1988-01-18,final,66.970846,162.0880
1988-01-19,final,72.244946,158.8552
1988-01-20,final,70.060474,160.8405
1988-01-21,final,69.613603,161.3236
1988-01-22,final,70.580400,160.9677
1988-01-23,final,69.678971,163.0101
1988-01-24,final,70.554935,163.4958
1988-01-25,final,70.229366,164.4960
1988-01-26,final,69.543175,166.0639
1988-01-27,final,68.578409,167.8112
1988-01-28,final,67.268630,170.0057
1988-01-29,final,65.832361,174.6106
1988-01-30,final,66.311988,181.5575
1988-01-31,final,67.571684,180.4950
1988-02-01,final,69.883235,178.8036
1988-02-02,final,72.189289,176.6446
1988-02-03,final,79.813999,168.0483
1988-02-04,final,79.860652,171.6890
1988-02-05,final,79.476598,173.3506
1988-02-06,final,76.411688,174.7503
1988-02-07,final,75.971931,177.0261
1988-02-08,final,75.789940,179.6678
1988-02-09,final,75.840000,182.3753
1988-02-10,final,77.568826,183.6081
1988-02-11,final,82.466998,182.6995
1988-02-12,final,81.233791,186.3549
1988-02-13,final,80.377842,189.2019
1988-02-14,final,81.582303,191.8583
1988-02-15,final,81.390462,193.5794
1988-02-16,final,81.460916,195.2910
1988-02-17,final,84.359611,187.6193
1988-02-18,final,82.291079,187.8478
1988-02-19,final,79.922577,188.3968
1988-02-20,final,79.649652,190.2364
1988-02-21,final,79.479265,191.9203
1988-02-22,final,78.953376,194.5128
1988-02-23,final,79.298588,197.1894
1988-02-24,final,78.876894,198.0230
1988-02-25,final,77.356908,200.3135
1988-02-26,final,76.409713,199.0618
1988-02-27,final,75.359725,201.0208
1988-02-28,final,74.857375,205.4769
1988-02-29,final,73.779400,207.7404
1988-03-01,final,72.416714,211.4716
1988-03-02,final,73.079087,220.4176
1988-03-03,final,68.516879,218.5898
1988-03-04,final,65.741989,217.9063
1988-03-05,final,65.060058,215.9523
1988-03-06,final,64.384134,218.7281
1988-03-07,final,66.083441,214.3276
1988-03-08,final,66.832973,207.2795
1988-03-09,final,66.463690,207.5211
1988-03-10,final,66.179100,209.9125
1988-03-11,final,76.184891,203.9407
1988-03-12,final,77.685259,199.4238
1988-03-13,final,78.318155,189.3353
1988-03-14,final,76.721913,189.7380
1988-03-15,final,74.170314,192.1409
1988-03-16,final,75.308074,189.4964
1988-03-17,final,77.532587,181.2156
1988-03-18,final,77.045367,188.0702
1988-03-19,final,76.024745,189.7668
1988-03-20,final,74.119423,189.1584
1988-03-21,final,71.991685,189.3447
1988-03-22,final,69.878250,189.8759
1988-03-23,final,67.029149,188.8975
1988-03-24,final,66.891013,195.5426
1988-03-25,final,67.959440,196.6931
1988-03-26,final,66.900324,196.3848
1988-03-27,final,64.574681,197.4599
1988-03-28,final,60.424513,199.3276
1988-03-29,final,62.060181,203.6186
1988-03-30,final,61.852222,203.5440
1988-03-31,final,65.310461,190.3473
1988-04-01,final,69.118199,187.5836
1988-04-02,final,66.418382,191.5234
1988-04-03,final,60.785576,193.1145
1988-04-04,final,57.340785,193.3000
1988-04-05,final,55.387246,195.4360
1988-04-06,final,54.268347,194.0275
1988-04-07,final,51.124802,187.1513
1988-04-08,final,47.556381,180.1929
1988-04-09,final,46.809276,197.3448
1988-04-10,final,48.682408,202.5983
1988-04-11,final,47.651850,204.1777
1988-04-12,final,45.763399,206.2879
1988-04-13,final,42.858010,200.5196
1988-04-14,final,39.920343,185.9569
1988-04-15,final,37.710102,184.1528
1988-04-16,final,35.193317,183.7918
1988-04-17,final,34.593790,188.3675
1988-04-18,final,35.618108,185.3786
1988-04-19,final,34.042841,183.3044
1988-04-20,final,32.256411,182.9749
1988-04-21,final,30.404562,181.5463
1988-04-22,final,33.223510,191.0410
1988-04-23,final,35.527793,184.6106
1988-04-24,final,35.073469,174.4580
1988-04-25,final,35.170262,173.2725
1988-04-26,final,35.121526,172.4190
1988-04-27,final,34.490988,169.9375
1988-04-28,final,33.276503,166.8590
1988-04-29,final,31.768109,161.1779
1988-04-30,final,29.657612,158.0188
1988-05-01,final,27.170234,157.6905
1988-05-02,final,29.240919,188.5436
1988-05-03,final,29.977173,188.0150
1988-05-04,final,28.665309,178.5885
1988-05-05,final,26.731261,173.9266
1988-05-06,final,24.820534,159.8540
1988-05-07,final,25.129677,169.0523
1988-05-08,final,25.731950,163.9148
1988-05-09,final,26.170040,158.4409
1988-05-10,final,25.299971,157.5591
1988-05-11,final,24.765660,156.3406
1988-05-12,final,23.091142,151.0866
1988-05-13,final,21.059346,147.1646
1988-05-14,final,18.993920,142.7943
1988-05-15,final,17.185704,142.4974
