date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca
2017-10-01,final,0.869086,115.3739,0.00618611,0.06186112
2017-10-02,final,2.892771,123.6294,0.02017482,0.18021631
2017-10-03,final,6.030130,130.5693,0.03993563,0.30428219
2017-10-04,final,4.576094,130.9062,0.02912048,0.24564334
2017-10-05,final,2.061380,126.8429,0.01274082,0.12208021
2017-10-06,final,0.937954,122.9898,0.00571344,0.05603191
2017-10-07,final,0.954630,120.0859,0.00574883,0.05653752
2017-10-08,final,0.638253,116.0720,0.00382442,0.03824416
2017-10-09,final,3.652323,144.4374,0.02411340,0.23613344
2017-10-10,final,7.087328,151.3869,0.04635502,0.43988886
2017-10-11,final,5.786969,153.0189,0.03696294,0.35960066
2017-10-12,final,3.612286,152.2836,0.02288160,0.22855718
2017-10-13,final,1.828945,148.4160,0.01158447,0.11584467
2017-10-14,final,1.133846,140.2297,0.00720113,0.07201133
2017-10-15,final,1.132264,133.2348,0.00723252,0.07232521
2017-10-16,final,0.859941,129.8498,0.00550754,0.05507540
2017-10-17,final,0.580648,123.6367,0.00374305,0.03743054
2017-10-18,final,0.374736,118.8869,0.00242753,0.02427531
2017-10-19,final,0.233802,114.3357,0.00152927,0.01529273
2017-10-20,final,0.122382,109.9245,0.00082889,0.00828887
2017-10-21,final,1.335835,125.2052,0.00913751,0.09137513
2017-10-22,final,1.328294,123.5703,0.00888435,0.08884354
2017-10-23,final,1.026945,121.3397,0.00688371,0.06883715
2017-10-24,final,0.778878,119.8628,0.00521880,0.05218797
2017-10-25,final,0.630064,118.6303,0.00422913,0.04229135
2017-10-26,final,0.405307,116.9312,0.00272004,0.02720043
2017-10-27,final,0.996843,133.3692,0.00662834,0.06628336
2017-10-28,final,1.022502,132.2858,0.00678087,0.06780875
2017-10-29,final,0.888616,125.2162,0.00593751,0.05937513
2017-10-30,final,0.701121,131.8902,0.00470847,0.04708472
2017-10-31,final,2.464697,136.3332,0.01733689,0.17234142
2017-11-01,final,2.586738,137.8760,0.01727387,0.17116529
2017-11-02,final,1.938230,136.3854,0.01285839,0.12810961
2017-11-03,final,1.392181,131.6774,0.00918755,0.09180328
2017-11-04,final,1.124826,126.5751,0.00741590,0.07415903
2017-11-05,final,3.036709,124.5445,0.02068991,0.19084726
2017-11-06,final,4.167641,129.1330,0.02777935,0.23145067
2017-11-07,final,6.153299,136.0883,0.04177171,0.31304763
2017-11-08,final,8.210619,140.9654,0.05536162,0.42570791
2017-11-09,final,7.960300,141.7344,0.05246004,0.40625193
2017-11-10,final,7.481669,143.1194,0.04814299,0.37966706
2017-11-11,final,6.621475,143.6830,0.04139760,0.33530026
2017-11-12,final,6.236309,143.6919,0.03839443,0.30760811
2017-11-13,final,5.846785,143.4233,0.03532482,0.28512247
2017-11-14,final,5.048125,142.7175,0.02964637,0.24422128
2017-11-15,final,4.520463,140.2521,0.02592583,0.21678632
2017-11-16,final,4.278357,138.8235,0.02422975,0.20430276
2017-11-17,final,4.089671,134.5185,0.02289832,0.19602674
2017-11-18,final,9.023844,154.0847,0.05648597,0.38249122
2017-11-19,final,8.904825,147.1104,0.05556288,0.37908594
2017-11-20,final,8.721494,147.5066,0.05406404,0.37140295
2017-11-21,final,8.740977,145.9165,0.05448067,0.36408460
2017-11-22,final,8.827029,144.6500,0.05461515,0.35006122
2017-11-23,final,7.734061,143.2200,0.04600933,0.30307244
2017-11-24,final,6.807905,141.6401,0.03910563,0.26535944
2017-11-25,final,6.258103,139.4603,0.03494023,0.23964441
2017-11-26,final,5.972944,138.1657,0.03271111,0.22591816
2017-11-27,final,5.430257,137.2794,0.02888911,0.20359774
2017-11-28,final,5.036767,145.1562,0.02625257,0.19046764
2017-11-29,final,5.188860,139.5438,0.02730913,0.20288006
2017-11-30,final,5.065016,139.8500,0.02639740,0.19710487
2017-12-01,final,4.943667,138.9201,0.02550283,0.19122697
2017-12-02,final,4.985414,138.0302,0.02569145,0.18878496
2017-12-03,final,4.804216,135.9793,0.02434474,0.18019395
2017-12-04,final,6.258717,146.5180,0.03509113,0.24320271
2017-12-05,final,6.663389,135.7575,0.03871910,0.26003593
2017-12-06,final,6.603600,136.5664,0.03818688,0.25710766
2017-12-07,final,6.880931,137.3925,0.04094952,0.28228056
2017-12-08,final,7.240850,138.3298,0.04448510,0.29140126
2017-12-09,final,7.129045,137.5998,0.04313900,0.28261516
2017-12-10,final,7.025237,138.3593,0.04217812,0.27658540
2017-12-11,final,6.915797,138.6503,0.04126006,0.27097481
2017-12-12,final,6.767489,138.9149,0.04007883,0.26326427
2017-12-13,final,6.556657,138.7409,0.03832315,0.25166891
2017-12-14,final,7.929026,149.7531,0.04956245,0.31990795
2017-12-15,final,8.365088,148.4884,0.05153427,0.34284988
2017-12-16,final,8.183499,149.7894,0.04985118,0.33161895
2017-12-17,final,8.072058,151.1971,0.04881970,0.32574649
2017-12-18,final,7.987385,149.8691,0.04814512,0.32163094
2017-12-19,final,7.850375,150.0613,0.04699955,0.31403816
2017-12-20,final,7.682799,150.3219,0.04562428,0.30450655
2017-12-21,final,8.738531,149.7923,0.05443933,0.36192647
2017-12-22,final,11.338963,145.8618,0.07466421,0.51188301
2017-12-23,final,11.435757,149.7848,0.07371894,0.49400706
2017-12-24,final,13.725597,148.6396,0.09067292,0.54797397
2017-12-25,final,15.203773,146.5756,0.10410676,0.58023811
2017-12-26,final,16.709472,149.1029,0.11059006,0.58684701
2017-12-27,final,16.591789,150.4983,0.10788374,0.57743637
