date,frsno,snodp_m,snomas_kg_m2,depth_m
2018-10-01,0.00000000,0.00000000,0.000000,0.00000000
2018-10-02,0.00000000,0.00000000,0.000000,0.00000000
2018-10-03,0.00000000,0.00000000,0.000000,0.00000000
2018-10-04,0.00003730,0.00362099,0.000970,0.00000287
2018-10-05,0.00006909,0.01140289,0.001796,0.00000530
2018-10-06,0.00090301,0.05621455,0.023478,0.00012881
2018-10-07,0.00553932,0.08272723,0.144022,0.00082305
2018-10-08,0.04042106,0.13485968,1.050948,0.00675074
2018-10-09,0.05264265,0.15100549,1.368709,0.00891352
2018-10-10,0.07982477,0.16594879,2.075444,0.01369928
2018-10-11,0.12056818,0.16700328,3.134773,0.02082052
2018-10-12,0.13148550,0.16225847,3.418623,0.02271403
2018-10-13,0.05777670,0.14702557,1.502194,0.00998893
2018-10-14,0.05791572,0.15076034,1.505809,0.00987395
2018-10-15,0.07690910,0.15624040,1.999637,0.01327178
2018-10-16,0.05315454,0.15290061,1.382018,0.00915272
2018-10-17,0.02700149,0.15481064,0.702039,0.00465266
2018-10-18,0.01425920,0.15255850,0.370739,0.00242760
2018-10-19,0.01115760,0.12648439,0.290098,0.00186991
2018-10-20,0.00419331,0.09011175,0.109026,0.00068586
2018-10-21,0.00090734,0.06354016,0.023591,0.00013652
2018-10-22,0.00016225,0.02812555,0.004218,0.00001894
2018-10-23,0.00179152,0.04289579,0.046579,0.00026348
2018-10-24,0.00962731,0.07661686,0.250310,0.00150810
2018-10-25,0.00784979,0.07251392,0.204095,0.00129924
2018-10-26,0.00227759,0.06351509,0.059217,0.00037151
2018-10-27,0.00057355,0.04900426,0.014912,0.00008601
2018-10-28,0.00008289,0.02171984,0.002155,0.00000805
2018-10-29,0.00000127,0.00037556,0.000033,0.00000003
2018-10-30,0.00938142,0.07604080,0.243917,0.00106805
2018-10-31,0.11031557,0.13686879,2.868205,0.01862147
2018-11-01,0.11528504,0.15386978,2.997411,0.01989271
2018-11-02,0.08009413,0.14804941,2.082447,0.01383524
2018-11-03,0.07883401,0.15061281,2.049684,0.01358680
2018-11-04,0.12668267,0.14818928,3.293749,0.02175345
2018-11-05,0.22129321,0.15540117,5.808548,0.03837939
