date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1989-10-01,final,0.000000,100.3224,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1989-10-02,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1989-10-03,final,0.000000,100.6967,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1989-10-04,final,0.227844,104.7517,0.00171551,0.01715508,0.001353,0.398846,0.00001227,0.00300147
1989-10-05,final,0.389257,107.7869,0.00277747,0.02777467,0.004175,0.679998,0.00003944,0.00484471
1989-10-06,final,0.560267,113.0989,0.00393645,0.03936453,0.129919,0.885184,0.00098596,0.00616410
1989-10-07,final,0.394217,113.8069,0.00279391,0.02793910,0.068725,0.639966,0.00052299,0.00450848
1989-10-08,final,0.346524,110.6204,0.00243482,0.02434821,0.038834,0.578833,0.00029897,0.00404741
1989-10-09,final,0.239080,108.3125,0.00169046,0.01690457,0.015555,0.407844,0.00012396,0.00287318
1989-10-10,final,0.148746,107.5953,0.00104826,0.01048258,0.007777,0.255178,0.00006115,0.00179353
1989-10-11,final,0.076657,105.3842,0.00055131,0.00551306,0.001411,0.133469,0.00001117,0.00095912
1989-10-12,final,0.042292,103.2554,0.00031230,0.00312297,0.000000,0.074222,0.00000000,0.00054808
1989-10-13,final,0.022012,102.5833,0.00016186,0.00161857,0.000000,0.038631,0.00000000,0.00028406
1989-10-14,final,0.011287,101.4308,0.00008604,0.00086044,0.000000,0.019808,0.00000000,0.00015101
1989-10-15,final,0.007118,101.5779,0.00005333,0.00053332,0.000000,0.012491,0.00000000,0.00009360
1989-10-16,final,3.840529,137.4945,0.02669365,0.26550224,1.545299,5.573450,0.00985371,0.03940796
1989-10-17,final,7.487417,143.1044,0.04936115,0.44319999,2.781988,11.040062,0.01793650,0.07308706
1989-10-18,final,3.912015,137.9016,0.02596848,0.25724808,1.916237,5.418848,0.01269293,0.03599164
1989-10-19,final,3.421605,132.4047,0.02287150,0.22751350,1.756610,4.678693,0.01173154,0.03128229
1989-10-20,final,2.957235,131.2626,0.01966032,0.19639669,1.404726,4.129395,0.00940752,0.02740128
1989-10-21,final,2.126771,130.5914,0.01407176,0.14071763,0.827440,3.107779,0.00555593,0.02050130
1989-10-22,final,1.588437,130.4272,0.01063624,0.10636239,0.443282,2.453040,0.00307841,0.01634247
1989-10-23,final,1.111088,127.3789,0.00745313,0.07453129,0.210250,1.791229,0.00150422,0.01194461
1989-10-24,final,0.724938,124.2349,0.00489009,0.04890086,0.097291,1.198818,0.00074292,0.00802124
1989-10-25,final,0.457165,121.1850,0.00309236,0.03092365,0.040670,0.771623,0.00032023,0.00518535
1989-10-26,final,2.176223,140.1358,0.01448516,0.14476481,1.272909,2.858234,0.00831747,0.01914182
1989-10-27,final,4.041177,147.7858,0.02567610,0.25585330,3.010536,4.819321,0.01824682,0.03128529
1989-10-28,final,3.636582,148.0113,0.02303435,0.22966228,2.549152,4.457603,0.01544073,0.02876761
1989-10-29,final,5.248234,145.8779,0.03436097,0.32530584,4.594743,5.741626,0.02926860,0.03820577
1989-10-30,final,7.124456,147.6242,0.04766483,0.45394764,6.322912,7.729629,0.04108446,0.05263307
1989-10-31,final,6.910227,150.6613,0.04525858,0.43220709,6.156292,7.479454,0.03967016,0.04947789
1989-11-01,final,8.208297,142.0856,0.05938946,0.52985558,6.727492,9.326319,0.04586135,0.06960331
1989-11-02,final,7.561617,142.9202,0.05275145,0.48894257,6.446648,8.403429,0.04312312,0.06002094
1989-11-03,final,7.154387,146.6886,0.04801673,0.45308471,5.895758,8.104664,0.03879971,0.05497567
1989-11-04,final,6.687113,147.8553,0.04401042,0.41919359,5.308552,7.727939,0.03462651,0.05109537
1989-11-05,final,6.273311,148.1985,0.04088123,0.38572407,4.575748,7.554987,0.02939555,0.04955304
1989-11-06,final,6.453638,146.2593,0.04250133,0.37540541,4.688467,7.786359,0.03027583,0.05173170
1989-11-07,final,8.054908,146.7611,0.05321460,0.44691059,5.062593,10.314134,0.03273720,0.06867524
1989-11-08,final,7.349753,144.4769,0.04818248,0.39829392,4.805439,9.270735,0.03073269,0.06135724
1989-11-09,final,6.945688,144.8305,0.04522226,0.37791577,4.469015,8.815600,0.02828920,0.05800688
1989-11-10,final,6.295005,144.9361,0.04014930,0.34319932,3.723081,8.236832,0.02305382,0.05305655
1989-11-11,final,5.119479,144.1657,0.03191520,0.28434939,2.752603,6.906493,0.01668051,0.04341754
1989-11-12,final,4.041104,142.2682,0.02466030,0.22835076,2.010902,5.573926,0.01194620,0.03425957
