date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1999-10-01,final,0.903800,119.1280,0.00589980,0.05899798,0.558760,1.164309,0.00362333,0.00761855
1999-10-02,final,0.483844,115.8100,0.00316129,0.03161286,0.247092,0.662595,0.00160175,0.00433875
1999-10-03,final,0.291458,114.2520,0.00190402,0.01904020,0.123080,0.418584,0.00080415,0.00273443
1999-10-04,final,0.187237,111.0696,0.00123928,0.01239284,0.064224,0.280114,0.00043622,0.00184561
1999-10-05,final,0.099503,108.5802,0.00066746,0.00667458,0.025731,0.155202,0.00018790,0.00102953
1999-10-06,final,0.044412,106.3201,0.00030688,0.00306877,0.008152,0.071789,0.00006546,0.00048915
1999-10-07,final,0.074614,108.2690,0.00056127,0.00561270,0.005426,0.126852,0.00004452,0.00095142
1999-10-08,final,0.974607,120.1702,0.00666855,0.06668554,0.063565,1.662454,0.00051702,0.01131302
1999-10-09,final,0.645017,119.0889,0.00436497,0.04364973,0.031720,1.108062,0.00025537,0.00746776
1999-10-10,final,0.359986,116.8369,0.00246591,0.02465911,0.013808,0.621354,0.00011513,0.00424077
1999-10-11,final,0.183574,112.3987,0.00127148,0.01271481,0.002755,0.320093,0.00002285,0.00221421
1999-10-12,final,0.092204,106.7101,0.00064393,0.00643929,0.000000,0.161820,0.00000000,0.00113010
1999-10-13,final,0.051907,103.5241,0.00036925,0.00369253,0.000000,0.091097,0.00000000,0.00064804
1999-10-14,final,0.027702,102.8346,0.00019558,0.00195583,0.000000,0.048617,0.00000000,0.00034325
1999-10-15,final,0.017665,102.4436,0.00012290,0.00122903,0.000000,0.031003,0.00000000,0.00021570
1999-10-16,final,0.376511,114.2855,0.00263944,0.02639439,0.381771,0.372540,0.00257697,0.00268660
1999-10-17,final,3.948616,131.9303,0.02812898,0.27263919,3.419923,4.347785,0.02324784,0.03181429
1999-10-18,final,3.837712,136.2319,0.02556139,0.25215735,3.318254,4.229908,0.02184656,0.02836611
1999-10-19,final,5.571848,135.6490,0.03752780,0.33969095,4.460640,6.410821,0.02963248,0.04348885
1999-10-20,final,5.232453,137.1917,0.03418781,0.31835939,4.014136,6.152294,0.02589885,0.04044605
1999-10-21,final,4.240934,137.5275,0.02722451,0.26529009,2.961840,5.206663,0.01868346,0.03367308
1999-10-22,final,3.079970,136.4746,0.01958330,0.19576481,1.924427,3.952416,0.01201540,0.02529713
1999-10-23,final,2.123332,135.7206,0.01342045,0.13420453,1.173299,2.840616,0.00726288,0.01806948
1999-10-24,final,1.456147,132.7512,0.00922862,0.09228616,0.681549,2.040976,0.00420496,0.01302152
1999-10-25,final,0.966923,129.8356,0.00616034,0.06160339,0.369870,1.417704,0.00228932,0.00908300
1999-10-26,final,0.647431,127.4703,0.00414691,0.04146912,0.196559,0.987844,0.00123450,0.00634581
1999-10-27,final,0.402324,123.8077,0.00260584,0.02605844,0.090544,0.637721,0.00058953,0.00412818
1999-10-28,final,0.267075,118.5122,0.00174927,0.01749271,0.043207,0.436098,0.00029881,0.00284439
1999-10-29,final,2.017070,133.3629,0.01419262,0.14192617,1.119662,2.694622,0.00763561,0.01914322
1999-10-30,final,3.383574,139.2883,0.02273904,0.22739043,1.934735,4.477461,0.01303960,0.03006222
1999-10-31,final,3.100817,139.7255,0.02063702,0.20637024,1.700040,4.158416,0.01142531,0.02759196
1999-11-01,final,2.188718,139.6460,0.01453156,0.14531562,1.143410,2.977936,0.00767581,0.01970772
1999-11-02,final,1.875557,138.9237,0.01244051,0.12440506,0.914235,2.601365,0.00615717,0.01718449
1999-11-03,final,1.622309,138.1990,0.01075410,0.10754096,0.730182,2.295874,0.00493504,0.01514754
1999-11-04,final,1.356068,136.3557,0.00899657,0.08996574,0.530253,1.979567,0.00357945,0.01308655
1999-11-05,final,1.053889,133.1280,0.00701542,0.07015420,0.346894,1.587676,0.00236116,0.01052943
1999-11-06,final,0.787568,130.6702,0.00524586,0.05245865,0.207713,1.225365,0.00142099,0.00813368
1999-11-07,final,0.573112,124.5043,0.00382870,0.03828704,0.127188,0.909788,0.00087393,0.00605959
1999-11-08,final,0.409770,120.8757,0.00275727,0.02757266,0.064585,0.670388,0.00046803,0.00448566
