date,frsno,snodp_m,snomas_kg_m2,depth_m,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1990-10-01,0.00019552,0.02432954,0.005083,0.00002519,0.000000,0.008570,0.00000000,0.00004247
1990-10-02,0.00002059,0.00376615,0.000535,0.00000215,0.000000,0.000903,0.00000000,0.00000363
1990-10-03,0.00000157,0.00878263,0.000041,0.00000005,0.000000,0.000069,0.00000000,0.00000009
1990-10-04,0.00018351,0.00729826,0.004771,0.00001182,0.000030,0.008023,0.00000001,0.00001991
1990-10-05,0.00003082,0.00406627,0.000801,0.00000205,0.000000,0.001351,0.00000000,0.00000346
1990-10-06,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1990-10-07,0.01713360,0.03631368,0.445473,0.00248936,0.414256,0.466886,0.00228235,0.00263135
1990-10-08,0.08211218,0.12135723,2.134917,0.01388361,1.101332,2.843884,0.00702078,0.01859103
1990-10-09,0.10626093,0.14826530,2.762784,0.01829130,1.231625,3.813053,0.00807308,0.02530028
1990-10-10,0.05430712,0.14613228,1.411985,0.00937099,0.455998,2.067725,0.00300220,0.01373954
1990-10-11,0.01597025,0.12763371,0.415227,0.00271746,0.115774,0.620630,0.00074781,0.00406850
1990-10-12,0.00882121,0.08163774,0.229352,0.00142307,0.049139,0.352965,0.00029879,0.00219425
1990-10-13,0.00361370,0.05502701,0.093956,0.00056348,0.017727,0.146244,0.00009231,0.00088667
1990-10-14,0.00123117,0.04093203,0.032010,0.00018557,0.003601,0.051498,0.00001775,0.00030068
1990-10-15,0.00049463,0.02771847,0.012860,0.00006732,0.000905,0.021061,0.00000395,0.00011079
1990-10-16,0.00007101,0.00939162,0.001846,0.00000538,0.000000,0.003113,0.00000000,0.00000907
1990-10-17,0.02437456,0.06560180,0.633738,0.00362169,0.188565,0.939097,0.00108053,0.00536475
1990-10-18,0.02346246,0.06788773,0.610024,0.00398060,0.142471,0.930733,0.00090971,0.00608701
1990-10-19,0.01067623,0.07179432,0.277582,0.00175391,0.045174,0.436998,0.00027658,0.00276725
1990-10-20,0.15890651,0.15231943,4.131569,0.02474752,2.673901,5.131428,0.01431367,0.03190441
1990-10-21,0.24001869,0.16807748,6.240486,0.04156021,3.437654,8.163034,0.02281210,0.05442011
1990-10-22,0.13428214,0.17098992,3.491336,0.02325330,1.459655,4.884927,0.00967643,0.03256609
1990-10-23,0.04804294,0.17038767,1.249116,0.00831407,0.431514,1.809934,0.00285192,0.01206072
1990-10-24,0.02168419,0.16216196,0.563789,0.00370918,0.133357,0.859035,0.00085119,0.00566956
1990-10-25,0.00635373,0.12534524,0.165197,0.00102209,0.031635,0.256811,0.00017864,0.00160064
1990-10-26,0.00158528,0.08266529,0.041217,0.00024305,0.005546,0.065685,0.00002089,0.00039543
1990-10-27,0.00040509,0.03895410,0.010532,0.00005537,0.000362,0.017508,0.00000043,0.00009306
1990-10-28,0.00007938,0.01552042,0.002064,0.00000909,0.000002,0.003478,0.00000000,0.00001533
1990-10-29,0.00000439,0.00308575,0.000114,0.00000021,0.000000,0.000193,0.00000000,0.00000036
1990-10-30,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1990-10-31,0.00000128,0.00226988,0.000033,0.00000002,0.000000,0.000056,0.00000000,0.00000004
1990-11-01,0.00013240,0.02521786,0.003442,0.00001570,0.000000,0.005803,0.00000000,0.00002648
1990-11-02,0.03960190,0.11447319,1.029649,0.00621655,0.314141,1.520438,0.00154337,0.00942203
1990-11-03,0.24236705,0.17081026,6.301543,0.04180067,3.991064,7.886371,0.02610507,0.05256676
1990-11-04,0.27242172,0.17237410,7.082965,0.04717206,4.308542,8.986025,0.02860653,0.05990672
1990-11-05,0.25520119,0.17305397,6.635231,0.04421811,3.420299,8.840450,0.02276101,0.05893619
1990-11-06,0.33922133,0.17330598,8.819754,0.05879712,4.392002,11.856884,0.02927727,0.07904567
1990-11-07,0.41997069,0.17367615,10.973908,0.07305516,5.758757,14.551138,0.03839160,0.09683195
1990-11-08,0.39258409,0.17377397,10.292858,0.06839617,4.600086,14.197702,0.03066714,0.09427566
1990-11-09,0.31431975,0.17335068,8.214061,0.05449339,2.639566,12.037776,0.01759704,0.07980171
1990-11-10,0.20988936,0.17296587,5.457123,0.03620022,1.287865,8.316944,0.00858573,0.05514183
1990-11-11,0.11683854,0.17291605,3.037802,0.02015140,0.593271,4.714580,0.00395488,0.03126108
1990-11-12,0.05458878,0.17114563,1.419308,0.00937550,0.254849,2.218046,0.00168884,0.01464801
1990-11-13,0.02418239,0.15362685,0.628742,0.00403735,0.107533,0.986255,0.00066886,0.00634790
1990-11-14,0.01098862,0.12070542,0.285704,0.00178458,0.044597,0.451087,0.00025528,0.00283357
1990-11-15,0.00460919,0.09987601,0.119839,0.00073602,0.016527,0.190704,0.00008749,0.00118087
1990-11-16,0.00221150,0.08582605,0.057499,0.00035031,0.007546,0.091763,0.00003868,0.00056406
1990-11-17,0.00129721,0.07273434,0.033728,0.00020111,0.003910,0.054180,0.00001813,0.00032661
1990-11-18,0.00074129,0.05717110,0.019274,0.00011224,0.001743,0.031298,0.00000658,0.00018471
1990-11-19,0.00085231,0.05465843,0.022160,0.00013330,0.001725,0.036177,0.00000606,0.00022057
1990-11-20,0.00732150,0.08631022,0.190359,0.00097903,0.066523,0.275302,0.00024238,0.00148433
1990-11-21,0.06904853,0.15671307,1.795262,0.01183485,1.361922,2.092502,0.00894012,0.01382044
1990-11-22,0.07770825,0.14431162,2.020414,0.01312598,1.464270,2.401891,0.00953283,0.01559063
1990-11-23,0.06525201,0.14250337,1.696552,0.01102646,1.040982,2.146228,0.00680006,0.01392548
1990-11-24,0.04602531,0.14144250,1.196658,0.00777091,0.655349,1.567958,0.00427898,0.01016614
1990-11-25,0.03097658,0.14212369,0.805391,0.00522970,0.389718,1.090514,0.00254408,0.00707184
1990-11-26,0.03690857,0.15118748,0.959623,0.00619369,0.428561,1.323894,0.00267940,0.00860425
1990-11-27,0.21630829,0.17206410,5.624016,0.03742735,4.402091,6.462170,0.02922215,0.04305555
1990-11-28,0.27078778,0.17214969,7.040482,0.04687043,5.388236,8.173808,0.03576302,0.05448934
1990-11-29,0.25594724,0.17199967,6.654628,0.04430093,4.965432,7.813299,0.03295105,0.05208615
1990-11-30,0.20147521,0.17198700,5.238356,0.03488798,3.594025,6.366251,0.02387848,0.04243973
1990-12-01,0.17193321,0.17179504,4.470263,0.02978082,2.708816,5.678493,0.01800988,0.03785486
1990-12-02,0.16226702,0.17245837,4.218942,0.02811542,2.274261,5.552859,0.01513745,0.03701740
1990-12-03,0.16741740,0.17229531,4.352852,0.02900207,2.302771,5.759065,0.01531250,0.03839217
1990-12-04,0.15810254,0.17197664,4.110666,0.02738759,2.123107,5.473993,0.01411476,0.03649182
1990-12-05,0.13217170,0.17202899,3.436464,0.02289915,1.664039,4.652224,0.01106912,0.03101372
1990-12-06,0.12899893,0.17281681,3.353972,0.02235150,1.545293,4.594600,0.01028308,0.03062960
1990-12-07,0.12501890,0.17323526,3.250492,0.02166880,1.509895,4.444419,0.01006460,0.02962847
1990-12-08,0.10420777,0.17318119,2.709402,0.01805927,1.163033,3.770103,0.00775272,0.02512884
1990-12-09,0.08651245,0.17263674,2.249324,0.01497447,0.863800,3.199696,0.00575726,0.02129683
1990-12-10,0.06217672,0.17234795,1.616595,0.01076308,0.573936,2.331786,0.00382413,0.01552271
1990-12-11,0.04371162,0.17077480,1.136502,0.00756495,0.382543,1.653666,0.00254550,0.01100794
1990-12-12,0.05587141,0.17039177,1.452657,0.00962857,0.588634,2.045316,0.00386704,0.01358058
1990-12-13,0.17244007,0.17225306,4.483442,0.02983307,3.216427,5.352526,0.02130614,0.03568195
1990-12-14,0.29302188,0.17276414,7.618569,0.05076109,5.894630,8.801071,0.03922908,0.05867125
1990-12-15,0.34371249,0.17252358,8.936525,0.05954065,7.094788,10.199828,0.04721387,0.06799596
1990-12-16,0.37514406,0.17305176,9.820811,0.06530074,7.585348,11.354183,0.05039730,0.07552346
