date,stream,swe_mm_we,snow_density_kg_m3,depth_m,fsca,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1993-10-01,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-02,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-03,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-04,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-05,final,0.000000,100.0000,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-06,final,0.000000,100.0344,0.00000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1993-10-07,final,0.457935,108.4256,0.00325262,0.03252621,0.016913,0.790910,0.00016339,0.00558502
1993-10-08,final,1.629519,124.8216,0.01132398,0.11323985,0.289781,2.641035,0.00219524,0.01821627
1993-10-09,final,3.455159,134.8232,0.02382068,0.23605982,1.506354,4.926525,0.01055579,0.03383580
1993-10-10,final,4.811110,134.2315,0.03285949,0.32038068,1.855425,7.042681,0.01275965,0.04803506
1993-10-11,final,4.424939,134.9440,0.02930967,0.28778466,1.525989,6.613675,0.01045872,0.04354232
1993-10-12,final,3.702191,133.7612,0.02446708,0.24002678,1.064653,5.693557,0.00733584,0.03740133
1993-10-13,final,3.044178,132.3439,0.01990178,0.19586098,0.651909,4.850365,0.00453320,0.03150521
1993-10-14,final,2.356050,130.1790,0.01524325,0.15121513,0.411172,3.824452,0.00288506,0.02457380
1993-10-15,final,2.498995,128.3719,0.01642934,0.16059785,0.449287,4.046544,0.00322222,0.02640085
1993-10-16,final,3.575352,129.2471,0.02419319,0.21639124,0.694418,5.750485,0.00506530,0.03863493
1993-10-17,final,4.739730,131.4992,0.03226161,0.28637847,0.943515,7.605908,0.00689031,0.05141719
1993-10-18,final,8.543151,139.7430,0.05725806,0.45572613,2.313152,13.246861,0.01631208,0.08817267
1993-10-19,final,9.550441,141.7177,0.06277801,0.48270241,2.785843,14.657778,0.01907063,0.09577750
1993-10-20,final,9.147508,143.0461,0.05900766,0.45615725,2.376884,14.259395,0.01588387,0.09156655
1993-10-21,final,8.767567,142.0668,0.05586357,0.43696180,2.132798,13.776881,0.01437402,0.08718858
