date,frsno,snodp_m,snomas_kg_m2,depth_m,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
1999-10-01,0.00066905,0.04224473,0.017395,0.00010156,0.008579,0.023442,0.00004885,0.00013771
1999-10-02,0.00007598,0.01297453,0.001975,0.00000844,0.001174,0.002525,0.00000519,0.00001067
1999-10-03,0.00000364,0.00552029,0.000095,0.00000012,0.000122,0.000076,0.00000022,0.00000006
1999-10-04,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-05,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-06,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-07,0.00025089,0.01425854,0.006523,0.00001528,0.000000,0.010997,0.00000000,0.00002576
1999-10-08,0.00180305,0.01694564,0.046879,0.00026140,0.000000,0.079035,0.00000000,0.00044070
1999-10-09,0.00028750,0.01322819,0.007475,0.00004069,0.000000,0.012602,0.00000000,0.00006861
1999-10-10,0.00003278,0.00774895,0.000852,0.00000343,0.000000,0.001437,0.00000000,0.00000579
1999-10-11,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-12,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-13,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-14,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-15,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-16,0.00605222,0.05977265,0.157358,0.00066315,0.126557,0.178485,0.00062328,0.00069050
1999-10-17,0.04414897,0.12230402,1.147873,0.00755400,0.989664,1.256393,0.00650487,0.00827363
1999-10-18,0.02155294,0.12085012,0.560377,0.00368308,0.457572,0.630893,0.00300587,0.00414759
1999-10-19,0.04767452,0.11749567,1.239537,0.00821575,1.156981,1.296165,0.00767643,0.00858569
1999-10-20,0.02297073,0.10291495,0.597239,0.00393395,0.483886,0.674991,0.00320163,0.00443626
1999-10-21,0.00590044,0.08153573,0.153411,0.00098784,0.105650,0.186172,0.00069064,0.00119170
1999-10-22,0.00133160,0.06506953,0.034621,0.00019796,0.020855,0.044064,0.00012499,0.00024800
1999-10-23,0.00024108,0.02948209,0.006268,0.00002657,0.003072,0.008460,0.00001002,0.00003792
1999-10-24,0.00003109,0.00805208,0.000808,0.00000240,0.000054,0.001325,0.00000002,0.00000404
1999-10-25,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-26,0.00000000,0.00000000,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-27,0.00000000,0.00000007,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
1999-10-28,0.00000238,0.00735902,0.000062,0.00000004,0.000005,0.000101,0.00000000,0.00000007
