date,frsno,snodp_m,snomas_kg_m2,depth_m,swe_mm_below,swe_mm_above,depth_m_below,depth_m_above
2019-10-01,0.00000000,0.00018993,0.000000,0.00000000,0.000000,0.000000,0.00000000,0.00000000
2019-10-02,0.00000059,0.00626101,0.000015,0.00000002,0.000019,0.000013,0.00000003,0.00000001
2019-10-03,0.00004330,0.00131721,0.001126,0.00000190,0.002157,0.000419,0.00000446,0.00000015
2019-10-04,0.00002330,0.00214363,0.000606,0.00000178,0.001184,0.000209,0.00000422,0.00000012
2019-10-05,0.00078521,0.01410017,0.020416,0.00008837,0.019293,0.021186,0.00008285,0.00009216
2019-10-06,0.00047049,0.01313920,0.012233,0.00006286,0.009210,0.014306,0.00004631,0.00007421
2019-10-07,0.00012018,0.01330906,0.003125,0.00001446,0.002186,0.003769,0.00000937,0.00001796
2019-10-08,0.00001284,0.00232780,0.000334,0.00000083,0.000000,0.000563,0.00000000,0.00000139
2019-10-09,0.00000016,0.00026765,0.000004,0.00000000,0.000006,0.000003,0.00000000,0.00000000
2019-10-10,0.03716484,0.10885918,0.966286,0.00594565,0.657492,1.178097,0.00409704,0.00721366
2019-10-11,0.06128979,0.11871467,1.593535,0.01052123,0.957872,2.029555,0.00625042,0.01345072
2019-10-12,0.03752613,0.11998922,0.975679,0.00645547,0.494509,1.305729,0.00322987,0.00866800
2019-10-13,0.01598903,0.11038152,0.415715,0.00275216,0.169966,0.584282,0.00110878,0.00387940
2019-10-14,0.00434649,0.07901251,0.113009,0.00072610,0.045067,0.159612,0.00028398,0.00102937
2019-10-15,0.00101024,0.04514911,0.026266,0.00014922,0.009862,0.037518,0.00005390,0.00021461
2019-10-16,0.00025313,0.02773383,0.006581,0.00003110,0.002324,0.009502,0.00001056,0.00004520
2019-10-17,0.00002438,0.00496701,0.000634,0.00000138,0.000171,0.000952,0.00000023,0.00000216
2019-10-18,0.00326916,0.05243576,0.084998,0.00031121,0.072599,0.093503,0.00025417,0.00035033
2019-10-19,0.00601011,0.06306370,0.156263,0.00096756,0.100196,0.194721,0.00060868,0.00121372
2019-10-20,0.06446418,0.12891585,1.676069,0.01098349,1.162620,2.028259,0.00752606,0.01335504
2019-10-21,0.14754638,0.13790560,3.836206,0.02547298,2.596705,4.686417,0.01719808,0.03114899
2019-10-22,0.15682538,0.13556505,4.078281,0.02704586,2.294144,5.302074,0.01518581,0.03518102
2019-10-23,0.11274201,0.13030917,2.931292,0.01945815,1.324356,4.033539,0.00878215,0.02678115
2019-10-24,0.17158994,0.15443949,4.461338,0.02950754,2.450838,5.840401,0.01607127,0.03872388
2019-10-25,0.14639840,0.14919755,3.806358,0.02529344,2.067167,4.999322,0.01374305,0.03321619
2019-10-26,0.05434154,0.14333072,1.412880,0.00938459,0.660480,1.928973,0.00438182,0.01281614
2019-10-27,0.02876654,0.14058668,0.747930,0.00494478,0.482109,0.930265,0.00315104,0.00617516
2019-10-28,0.14722168,0.16889186,3.827764,0.02526505,3.024277,4.378899,0.01970420,0.02907941
2019-10-29,0.24742835,0.17314235,6.433137,0.04286413,5.196875,7.281127,0.03462328,0.04851677
2019-10-30,0.35496521,0.17288196,9.229095,0.06147115,7.352391,10.516384,0.04892516,0.07007682
2019-10-31,0.33677356,0.17230745,8.756112,0.05827948,6.884983,10.039577,0.04571213,0.06689980
2019-11-01,0.25701676,0.17243211,6.682436,0.04449916,4.846294,7.941901,0.03222706,0.05291697
2019-11-02,0.20412580,0.17228104,5.307271,0.03534846,3.347609,6.651462,0.02227543,0.04431564
2019-11-03,0.13406550,0.17105525,3.485703,0.02321296,1.877837,4.588587,0.01249502,0.03056471
2019-11-04,0.09170131,0.16403317,2.384234,0.01586595,1.029626,3.313400,0.00684583,0.02205312
2019-11-05,0.06384165,0.14627308,1.659883,0.01103490,0.548462,2.422240,0.00364036,0.01610705
2019-11-06,0.03821179,0.12829121,0.993507,0.00653346,0.271131,1.489006,0.00179148,0.00978612
2019-11-07,0.02005362,0.12102711,0.521394,0.00330322,0.135326,0.786210,0.00088116,0.00496459
2019-11-08,0.01188603,0.09743239,0.309037,0.00187634,0.070449,0.472691,0.00040663,0.00288445
2019-11-09,0.00655593,0.07427738,0.170454,0.00101033,0.032723,0.264928,0.00018235,0.00157827
2019-11-10,0.00276691,0.05462729,0.071940,0.00041728,0.013604,0.111954,0.00007641,0.00065109
2019-11-11,0.00451574,0.07785738,0.117409,0.00075068,0.069665,0.150159,0.00044162,0.00096268
2019-11-12,0.00523443,0.05306586,0.136095,0.00085899,0.080975,0.173904,0.00050308,0.00110311
2019-11-13,0.00380486,0.06357901,0.098926,0.00061879,0.053822,0.129865,0.00031907,0.00082437
2019-11-14,0.00284190,0.07065551,0.073889,0.00046854,0.036768,0.099352,0.00022352,0.00063661
2019-11-15,0.00176488,0.05327730,0.045887,0.00028396,0.021876,0.062357,0.00013334,0.00038728
2019-11-16,0.00123544,0.05193209,0.032121,0.00019763,0.012031,0.045902,0.00007191,0.00028386
2019-11-17,0.00367293,0.06581085,0.095496,0.00059408,0.035262,0.136812,0.00022708,0.00084581
2019-11-18,0.00294430,0.05164128,0.076552,0.00044262,0.022718,0.113478,0.00014339,0.00064788
2019-11-19,0.00168372,0.03924809,0.043777,0.00024831,0.010979,0.066274,0.00006643,0.00037307
2019-11-20,0.01684245,0.11234709,0.437904,0.00244959,0.263896,0.557261,0.00117301,0.00332523
2019-11-21,0.10781875,0.16861978,2.803287,0.01854017,1.900436,3.422580,0.01238826,0.02275996
2019-11-22,0.23822843,0.17330522,6.193939,0.04128626,4.240632,7.533772,0.02827082,0.05021395
2019-11-23,0.25512686,0.17330514,6.633298,0.04421458,3.983781,8.450683,0.02655847,0.05632544
2019-11-24,0.18575249,0.17330505,4.829565,0.03219024,2.470363,6.447813,0.01646903,0.04297390
2019-11-25,0.14934460,0.17330500,3.882960,0.02587987,1.719314,5.367070,0.01146205,0.03576950
2019-11-26,0.31524179,0.17330501,8.196287,0.05462658,5.883381,9.782779,0.03922239,0.06519279
2019-11-27,0.41338904,0.17330495,10.748115,0.07163484,8.078492,12.579290,0.05385639,0.08382962
2019-11-28,0.44761705,0.17332739,11.642774,0.07758476,8.281637,13.948281,0.05521066,0.09293183
2019-11-29,0.43262772,0.17496684,11.523329,0.07633399,7.132547,14.535100,0.04755009,0.09607774
2019-11-30,0.54896954,0.18262939,15.790848,0.10361381,10.008988,19.756801,0.06658047,0.12901610
2019-12-01,0.58078935,0.18414614,16.958037,0.11062868,10.937041,21.088021,0.07264429,0.13668332
2019-12-02,0.53248812,0.18305639,15.663018,0.10096669,9.367105,19.981576,0.06216861,0.12757947
2019-12-03,0.46389002,0.18142273,13.781163,0.08735539,7.012825,18.423771,0.04664774,0.11527800
2019-12-04,0.40773715,0.18034790,12.278630,0.07659652,5.086552,17.211895,0.03383468,0.10592816
2019-12-05,0.40746606,0.18096919,12.591868,0.07747485,5.119757,17.717216,0.03401106,0.10728798
2019-12-06,0.44406174,0.18392493,14.141646,0.08634441,5.764675,19.887665,0.03816437,0.11939256
2019-12-07,0.40902966,0.18174544,13.136608,0.07885008,4.481715,19.073262,0.02956965,0.11265302
2019-12-08,0.40253093,0.18187807,13.193174,0.07815932,4.160356,19.389058,0.02740778,0.11297135
2019-12-09,0.47335288,0.19046305,16.532596,0.09787562,5.894788,23.829390,0.03849483,0.13860671
2019-12-10,0.47355368,0.19061833,16.796041,0.09843043,5.752127,24.371396,0.03738047,0.14030644
2019-12-11,0.45507250,0.18811278,16.206295,0.09371709,5.116062,23.813422,0.03315930,0.13525552
2019-12-12,0.44400857,0.18659570,15.854500,0.09070538,4.838555,23.410671,0.03134547,0.13142215
2019-12-13,0.49983405,0.19910490,19.386394,0.11233480,6.952989,27.914844,0.04475050,0.15869292
2019-12-14,0.54359137,0.21084280,22.548110,0.13098579,8.945384,31.878631,0.05745165,0.18142508
2019-12-15,0.59043950,0.22685029,26.308467,0.15259376,11.239767,36.644545,0.07152989,0.20819791
2019-12-16,0.65148917,0.23002661,28.628668,0.16594510,13.328328,39.123635,0.08466213,0.22169956
2019-12-17,0.65907789,0.22814563,28.817077,0.16548306,13.546059,39.291930,0.08551728,0.22033401
2019-12-18,0.64603566,0.22516719,28.290026,0.16018178,13.009565,38.771357,0.08138425,0.21423139
2019-12-19,0.61329661,0.22151030,27.164779,0.15071633,11.881978,37.647716,0.07330257,0.20381677
2019-12-20,0.59531691,0.21819551,26.444646,0.14438145,11.093441,36.974503,0.06755734,0.19707743
2019-12-21,0.56792113,0.21496931,25.491527,0.13642086,10.088833,36.056701,0.06041443,0.18855597
2019-12-22,0.52381685,0.20911310,23.736982,0.12338278,8.706213,34.047042,0.05097999,0.17304604
2019-12-23,0.48672359,0.20298909,22.158637,0.11157593,7.493314,32.218025,0.04293783,0.15865688
2019-12-24,0.46230107,0.19881105,21.092324,0.10362733,6.672188,30.983531,0.03754473,0.14895539
2019-12-25,0.48700080,0.20054689,22.147632,0.10949241,7.937257,31.894958,0.04608035,0.15298866
2019-12-26,0.53040064,0.20544853,24.180689,0.12181335,10.443186,33.603659,0.06225699,0.16266486
2019-12-27,0.54374443,0.20696583,24.905799,0.12555609,10.934627,34.489049,0.06524320,0.16692652
2019-12-28,0.59335870,0.21407267,27.424119,0.14087736,12.723914,37.507435,0.07672001,0.18488484
2019-12-29,0.62072599,0.21639722,28.629041,0.14798058,13.761593,38.827074,0.08328514,0.19235714
2019-12-30,0.61864308,0.21540304,28.536889,0.14670311,13.668035,38.735886,0.08248608,0.19075151
2019-12-31,0.61533920,0.21436672,28.400952,0.14515662,13.549593,38.587949,0.08153934,0.18879364
2020-01-01,0.61600592,0.21584322,28.740322,0.14667009,13.858859,38.947968,0.08341437,0.19005911
2020-01-02,0.66591822,0.23189442,32.643089,0.17097078,17.259411,43.195220,0.10538068,0.21596102
2020-01-03,0.66416626,0.23568813,33.423016,0.17433425,17.684092,44.218820,0.10751629,0.22016671
2020-01-04,0.63926249,0.23514914,32.950281,0.16916082,16.834100,44.004857,0.10112407,0.21582930
2020-01-05,0.59266733,0.23259786,31.614266,0.15815346,15.328491,42.785172,0.09037152,0.20464715
