checkpoint_schema,config_fingerprint,calendar_month,level,slot,cell_id,merra_latitude,merra_longitude,merra_latitude_index,merra_longitude_index,sum_w,sum_w_error,sum_w_abs_error,valid_pixels,expected_pixels,observed_pixels,n_cell_days,n_days,n_calendar_days,bias_pp,mae_pp,support_fraction,direct_observation_fraction,domain,error_sign,merra_product,modscag_product,aggregation
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,0,MERRA2_i254_j114,37.0,-108.75,254,114,444910.0,14206.437156234551,16660.576180608823,444910,445532,407641,31,31,31,3.193103584148379,3.7447070599916437,0.9986039162170169,0.9162324964599582,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,1,MERRA2_i254_j115,37.0,-108.125,254,115,442851.0,-25572.379095979657,29295.16731687696,442851,445687,302061,31,31,31,-5.7744882807038165,6.6151295394787315,0.9936367899445127,0.6820826869533997,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,2,MERRA2_i254_j116,37.0,-107.5,254,116,442521.0,-17931.33777793952,25982.515846028382,442521,445656,280588,31,31,31,-4.052087421374244,5.871476347117625,0.9929654262480478,0.6340670838220107,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,3,MERRA2_i254_j117,37.0,-106.875,254,117,426862.0,-102341.77789310532,102341.77789310532,426862,445687,168575,31,31,31,-23.97537796597151,23.97537796597151,0.9577618373432476,0.39491685837577484,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,4,MERRA2_i254_j118,37.0,-106.25,254,118,423691.0,-120830.15388452991,120830.15388452991,423691,445532,200147,31,31,31,-28.518461304235846,28.518461304235846,0.9509777075496261,0.4723890760011423,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,5,MERRA2_i254_j119,37.0,-105.625,254,119,428587.0,-99591.43640525137,99591.43640525137,428587,445625,225361,31,31,31,-23.2371575445012,23.2371575445012,0.9617660589060308,0.5258232284227007,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,6,MERRA2_i254_j120,37.0,-105.0,254,120,441989.0,-98854.39278880408,98854.39278880408,441989,445718,234305,31,31,31,-22.36580385231399,22.36580385231399,0.9916337235651241,0.5301150028620621,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,7,MERRA2_i254_j121,37.0,-104.375,254,121,430415.0,-97505.68984779087,98342.72264622829,430415,445656,220735,31,31,31,-22.65387819843427,22.848349301541138,0.9658009765379575,0.5128422568916046,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,8,MERRA2_i255_j114,37.5,-108.75,255,114,430298.0,-29689.583079701308,32205.784495327334,430298,442649,303971,31,31,31,-6.899772501778141,7.484530370888857,0.9720975310008607,0.7064197370194609,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,905d7dc047ed32bec4d52f65ef75ab2fdf55ef473044edf2450e2c21a5a0a0d7,2014-12,cell,9,MERRA2_i255_j115,37.5,-108.125,255,115,419061.0,-123549.62158789972,123549.62158789972,419061,442742,162377,31,31,31,-29.482490994843165,29.482490994843165,0.9465128675391086,0.3874781952985365,"centers:-109,-104E;37,41N",MERRA2_minus_MODSCAG,"M2T1NXLND.5.12.4:FRSNO[index=15,15:00-16:00Z]",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
