group,water_years,month,month_number,slot,cell_id,merra_latitude,merra_longitude,pooled_modis_fsca_fraction,masked_modis_fsca_below_0_1,normalized_mean_bias_pct,mean_annual_nmb_pct,n_water_years,degrees_of_freedom,t_statistic,two_sided_p_value,two_sided_p_lt_0_05
Wet,"2011,2017,2019,2023",November,11,29,MERRA2_i257_j119,38.5,-105.625,0.1002092024128325,False,-57.0239161755539,-18.76405789420002,4,3,-0.6420479416044017,0.5665331331994682,False
Wet,"2011,2017,2019,2023",November,11,30,MERRA2_i257_j120,38.5,-105.0,0.023224837318086514,True,-24.997297863886846,-31.465195358185426,4,3,,,False
Wet,"2011,2017,2019,2023",November,11,31,MERRA2_i257_j121,38.5,-104.375,0.0015975307838607634,True,544.1303283215075,7.336253706538498,1,0,,,False
Wet,"2011,2017,2019,2023",November,11,32,MERRA2_i258_j114,39.0,-108.75,0.12061539955815834,False,-68.29274043110367,-67.57241299032663,4,3,-7.786497781603731,0.004407984687501761,True
Wet,"2011,2017,2019,2023",November,11,33,MERRA2_i258_j115,39.0,-108.125,0.18947467684305408,False,-57.23921303943675,-53.86604027011044,4,3,-6.390258818569717,0.007760588738186652,True
Wet,"2011,2017,2019,2023",November,11,34,MERRA2_i258_j116,39.0,-107.5,0.37302616389095605,False,-52.58425377720705,-48.90325817303532,4,3,-5.629592222506274,0.011086199941772259,True
Wet,"2011,2017,2019,2023",November,11,35,MERRA2_i258_j117,39.0,-106.875,0.6763260946491175,False,-54.15519485875382,-54.608043138442476,4,3,-9.358809923577386,0.0025836909084890115,True
Wet,"2011,2017,2019,2023",November,11,36,MERRA2_i258_j118,39.0,-106.25,0.42419112899826117,False,-41.96521765399911,-43.50736800768311,4,3,-5.304474177243638,0.013079543914760752,True
Wet,"2011,2017,2019,2023",November,11,37,MERRA2_i258_j119,39.0,-105.625,0.14239255301887468,False,-50.95842033706439,103.43564853768963,4,3,0.6697998336424797,0.5509292554903115,False
Wet,"2011,2017,2019,2023",November,11,38,MERRA2_i258_j120,39.0,-105.0,0.10494841032222928,False,-75.2312017181238,-66.34730095732618,4,3,-4.445730722565806,0.021168808043194334,True
