month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,one_sided_p_value_negative,benjamini_hochberg_q_value,raw_p_lt_0_05,bh_q_lt_0_05,water_years,alternative
November,11,23,MERRA2_i256_j121,38.0,-104.375,1546.8511619427384,14,13,0.5258766637010714,0.7558663566192355,0.7683967859121754,0.8135965968481857,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,24,MERRA2_i257_j114,38.5,-108.75,2088.296191174692,14,13,-6.064784395989453,-3.8835532404723567,0.0009419496650423216,0.001994716937736681,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,25,MERRA2_i257_j115,38.5,-108.125,2109.257675297577,14,13,-6.322944996484831,-4.17257310486509,0.0005470576370945552,0.0012029771525996946,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,26,MERRA2_i257_j116,38.5,-107.5,2560.8038430549223,14,13,-17.88943478900122,-9.344610669475788,1.9636901719337025e-07,2.8277138475845315e-06,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,27,MERRA2_i257_j117,38.5,-106.875,2784.0967419618746,14,13,-12.47337218569136,-6.096455699068647,1.901043143060267e-05,7.203952963175748e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,28,MERRA2_i257_j118,38.5,-106.25,3022.522471682309,14,13,-22.224143638297768,-7.919782459159839,1.2482928570662884e-06,1.2094508191649591e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,29,MERRA2_i257_j119,38.5,-105.625,2556.213241342755,14,13,-7.006034422108788,-2.826616044820565,0.00714144333700529,0.011177911310095236,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,30,MERRA2_i257_j120,38.5,-105.0,1987.37523215676,14,13,-0.09098279140748129,-0.16489424244277587,0.43578183415597405,0.4980363818925418,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,31,MERRA2_i257_j121,38.5,-104.375,1593.997839292177,14,13,1.6471895199089344,4.2263075222170485,0.9995050694678129,0.9998106033572096,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,32,MERRA2_i258_j114,39.0,-108.75,1930.8552799548654,14,13,-5.838591725932546,-3.783829540896479,0.0011381046911058533,0.0022218957077817765,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,33,MERRA2_i258_j115,39.0,-108.125,2093.3591225916857,14,13,-10.957359208647063,-6.824688155008954,6.080236383905443e-06,2.9185134642746123e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,34,MERRA2_i258_j116,39.0,-107.5,2576.5654673492904,14,13,-22.876065385483876,-7.8663874106187865,1.3438342435166212e-06,1.2094508191649591e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,35,MERRA2_i258_j117,39.0,-106.875,3225.8618698354226,14,13,-35.16857299432192,-8.909286257594179,3.3760671430704585e-07,4.0512805716845504e-06,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,36,MERRA2_i258_j118,39.0,-106.25,3220.387264335259,14,13,-20.846623278530014,-6.846179686193406,5.885493980050168e-06,2.9185134642746123e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,37,MERRA2_i258_j119,39.0,-105.625,2800.2762848661123,14,13,-8.586590273574036,-2.353130981296404,0.017510534507248522,0.0247207545984685,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,38,MERRA2_i258_j120,39.0,-105.0,2490.158779910293,14,13,-8.714887126099464,-3.3896879912753457,0.0024186139612363535,0.004146195362119463,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,39,MERRA2_i258_j121,39.0,-104.375,1982.2155673833213,14,13,-0.9606781251023404,-1.0918416891490188,0.14736245094471906,0.17983214352575885,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,40,MERRA2_i259_j114,39.5,-108.75,2085.661016962659,14,13,-9.433440401171804,-4.646524748600776,0.00022869587572089278,0.0005880751089965814,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,41,MERRA2_i259_j115,39.5,-108.125,2196.5933863488303,14,13,-7.877518660274246,-3.166824163188052,0.0037135654441874744,0.0062180630693371665,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,42,MERRA2_i259_j116,39.5,-107.5,2400.0384499158567,14,13,-12.557836743417143,-6.207523134506383,1.590178576458342e-05,6.360714305833368e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,43,MERRA2_i259_j117,39.5,-106.875,2633.919937024972,14,13,-12.805704099049947,-5.849350637259667,2.845710757543683e-05,9.756722597292625e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,44,MERRA2_i259_j118,39.5,-106.25,3254.665451851753,14,13,-34.337878245179255,-11.430792393167964,1.867410385529166e-08,6.722677387904997e-07,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,45,MERRA2_i259_j119,39.5,-105.625,3053.0094584120475,14,13,-14.499088249195834,-5.257432988287591,7.742782248990659e-05,0.000222992128770931,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,46,MERRA2_i259_j120,39.5,-105.0,1961.0965838367633,14,13,-4.09072201976249,-1.7197804531918883,0.05458675829733066,0.07145902904377832,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,47,MERRA2_i259_j121,39.5,-104.375,1808.7792639044665,14,13,-3.54540179849323,-1.5115671599910794,0.07728305925635452,0.09936393332959867,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,48,MERRA2_i260_j114,40.0,-108.75,1927.048761447208,14,13,-8.342753593998028,-2.7762071754708066,0.007864870322702944,0.012048311983715148,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,49,MERRA2_i260_j115,40.0,-108.125,2104.4218107354122,14,13,-9.256721317771923,-3.569747869847414,0.0017122257505445874,0.0030820063509802574,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,50,MERRA2_i260_j116,40.0,-107.5,2723.6856576852583,14,13,-32.91300381828914,-11.847353212848894,1.2181184487869128e-08,6.722677387904997e-07,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,51,MERRA2_i260_j117,40.0,-106.875,2724.43157780741,14,13,-21.605117022480137,-7.483364023445399,2.3040787356394672e-06,1.6589366896604166e-05,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,52,MERRA2_i260_j118,40.0,-106.25,2702.5972164633613,14,13,-17.20939620599125,-4.509538788762154,0.00029347863481899225,0.0007286366105850842,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
November,11,53,MERRA2_i260_j119,40.0,-105.625,2863.9971152444764,14,13,-27.46129213136738,-10.945182030841426,3.124491902852585e-08,7.498780566846204e-07,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias < 0
