checkpoint_schema,config_fingerprint,calendar_month,level,slot,cell_id,sum_w,sum_w_fsca,valid_pixels,expected_pixels,observed_pixels,n_cell_days,n_days,n_calendar_days,mean_modis_fsca_pct,domain,modscag_product,aggregation
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,0,MERRA2_i254_j114,402416.0,1278.19,402416,402416,398027,28,28,28,0.31762902071488214,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,1,MERRA2_i254_j115,402481.0,4041.1500000000015,402481,402556,392145,28,28,28,1.0040598189728214,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,2,MERRA2_i254_j116,398302.0,29472.510000000068,398302,402528,326463,28,28,28,7.399538541107016,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,3,MERRA2_i254_j117,374551.0,167228.37999999872,374551,402556,192282,28,28,28,44.647692837557166,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,4,MERRA2_i254_j118,383735.0,193576.75999999605,383735,402416,232698,28,28,28,50.44542718282045,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,5,MERRA2_i254_j119,401774.0,54174.83000000057,401774,402500,344123,28,28,28,13.483906375226015,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,6,MERRA2_i254_j120,401151.0,85598.38999999981,401151,402584,332755,28,28,28,21.33819683859689,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,7,MERRA2_i254_j121,402326.0,9746.620000000028,402326,402528,385654,28,28,28,2.4225677684266063,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,8,MERRA2_i255_j114,395126.0,47259.670000000435,395126,399812,311154,28,28,28,11.960658119182346,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,9,MERRA2_i255_j115,392643.0,233734.78999999366,392643,399896,194336,28,28,28,59.528576849706646,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,10,MERRA2_i255_j116,374542.0,241916.76999999667,374542,399784,168325,28,28,28,64.59002461673101,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,11,MERRA2_i255_j117,369600.0,270280.79999999434,369600,399840,146435,28,28,28,73.12792207792054,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,12,MERRA2_i255_j118,392279.0,97426.53999999915,392279,399840,308129,28,28,28,24.83603251767215,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,13,MERRA2_i255_j119,398672.0,42151.55000000031,398672,399952,346912,28,28,28,10.572989826223138,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
1,9db36ceaf0069abac450ee37a02d2fe22dae530bbec3fde4e36fc6d67f4389ad,2018-02,cell,14,MERRA2_i255_j120,399249.0,81955.76000000021,399249,399756,316651,28,28,28,20.527480344346564,"centers:-109,-104E;37,41N",STC_MODSCGDRF_HIST_v1:snow_fraction,equal_area_MODIS_pixel_center_to_MERRA2_cell
